foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
1.457e-03,3.222e-03,1.572e-03,2.812e-04,3.873e-04,1.146e-04,9.790e-05,3.041e-04,5.168e-04
1.377e-03,3.258e-03,1.414e-03,1.859e-05,6.196e-04,2.503e-04,1.125e-04,4.712e-04,3.117e-04
1.108e-03,3.309e-03,1.231e-03,4.195e-06,6.881e-04,2.570e-04,7.696e-05,3.442e-04,2.186e-04
9.079e-04,3.408e-03,1.033e-03,6.557e-06,7.463e-04,2.633e-04,5.343e-05,2.774e-04,1.588e-04
7.595e-04,3.508e-03,8.318e-04,1.145e-05,7.898e-04,2.671e-04,3.934e-05,2.462e-04,1.217e-04
6.423e-04,3.588e-03,6.358e-04,1.269e-05,8.184e-04,2.704e-04,3.388e-05,2.362e-04,9.534e-05
5.391e-04,3.641e-03,4.504e-04,2.044e-05,8.280e-04,2.634e-04,2.493e-05,2.542e-04,8.473e-05
4.600e-04,3.674e-03,2.797e-04,2.521e-05,8.692e-04,1.913e-04,6.597e-06,2.206e-04,6.460e-05
4.318e-04,3.700e-03,1.277e-04,5.091e-05,9.000e-04,1.522e-04,1.660e-05,2.002e-04,5.279e-05
4.184e-04,3.690e-03,7.808e-06,4.393e-05,9.102e-04,1.372e-04,1.719e-05,2.096e-04,5.084e-05
4.158e-04,3.645e-03,1.280e-04,3.717e-05,9.061e-04,1.180e-04,1.472e-05,2.127e-04,4.946e-05
4.224e-04,3.572e-03,2.335e-04,3.257e-05,8.928e-04,9.626e-05,1.467e-05,2.102e-04,4.646e-05
4.350e-04,3.480e-03,3.250e-04,2.607e-05,8.691e-04,7.161e-05,1.448e-05,2.031e-04,4.251e-05
4.545e-04,3.373e-03,4.033e-04,2.023e-05,8.379e-04,4.664e-05,1.325e-05,1.908e-04,3.885e-05
4.792e-04,3.262e-03,4.694e-04,1.450e-05,7.999e-04,1.964e-05,1.296e-05,1.741e-04,3.129e-05
5.082e-04,3.149e-03,5.239e-04,7.477e-06,7.560e-04,5.931e-06,1.339e-05,1.567e-04,2.426e-05
5.429e-04,3.043e-03,5.677e-04,2.570e-06,7.078e-04,3.347e-05,1.259e-05,1.346e-04,1.679e-05
5.815e-04,2.949e-03,6.012e-04,3.681e-06,6.577e-04,6.008e-05,1.334e-05,1.127e-04,8.628e-06
6.241e-04,2.870e-03,6.253e-04,1.020e-05,6.031e-04,8.464e-05,1.543e-05,9.060e-05,4.768e-07
6.707e-04,2.808e-03,6.403e-04,1.692e-05,5.466e-04,1.093e-04,1.486e-05,6.598e-05,1.071e-05
7.212e-04,2.768e-03,6.471e-04,2.315e-05,4.897e-04,1.330e-04,1.627e-05,4.423e-05,1.840e-05
7.756e-04,2.753e-03,6.458e-04,2.932e-05,4.303e-04,1.549e-04,1.731e-05,2.265e-05,2.791e-05
8.339e-04,2.764e-03,6.369e-04,3.482e-05,3.714e-04,1.759e-04,1.807e-05,1.311e-06,3.718e-05
8.726e-04,2.802e-03,6.209e-04,3.416e-05,3.593e-04,1.308e-04,1.522e-05,5.156e-05,8.196e-07
8.359e-04,2.837e-03,6.038e-04,1.079e-05,5.075e-04,1.147e-04,8.070e-07,3.167e-04,1.853e-04
8.800e-04,2.772e-03,6.050e-04,2.659e-05,4.804e-04,8.512e-05,2.199e-06,2.684e-04,1.719e-04
9.300e-04,2.745e-03,6.018e-04,4.328e-05,4.532e-04,5.811e-05,3.410e-06,2.230e-04,1.599e-04
9.828e-04,2.754e-03,5.943e-04,5.768e-05,4.277e-04,3.257e-05,5.431e-06,1.819e-04,1.482e-04
1.040e-03,2.798e-03,5.825e-04,7.305e-05,4.022e-04,7.659e-06,7.832e-06,1.436e-04,1.388e-04
1.099e-03,2.877e-03,5.667e-04,8.754e-05,3.780e-04,1.380e-05,8.873e-06,1.084e-04,1.273e-04
1.106e-03,2.986e-03,5.471e-04,4.910e-05,4.497e-04,4.286e-05,3.853e-05,2.180e-04,2.613e-04
1.105e-03,3.105e-03,5.280e-04,6.612e-06,6.520e-04,1.355e-04,7.914e-05,3.514e-04,4.127e-04
1.045e-03,3.170e-03,5.107e-04,1.912e-04,6.999e-04,1.357e-04,1.722e-05,2.686e-04,3.291e-04
1.039e-03,3.063e-03,4.828e-04,2.334e-04,6.385e-04,1.135e-04,4.099e-05,2.078e-04,2.914e-04
1.058e-03,2.944e-03,4.520e-04,2.278e-04,5.555e-04,8.789e-05,3.812e-05,1.593e-04,2.672e-04
1.080e-03,2.866e-03,4.206e-04,2.211e-04,4.768e-04,6.258e-05,3.416e-05,1.141e-04,2.454e-04
1.107e-03,2.828e-03,3.887e-04,2.144e-04,3.998e-04,4.035e-05,3.296e-05,7.534e-05,2.242e-04
1.137e-03,2.829e-03,3.560e-04,2.076e-04,3.256e-04,1.857e-05,2.911e-05,4.005e-05,2.036e-04
1.144e-03,2.863e-03,3.225e-04,1.626e-04,3.459e-04,6.023e-05,6.211e-06,7.361e-05,2.343e-04
1.127e-03,2.875e-03,2.868e-04,1.068e-04,4.575e-04,1.377e-04,6.319e-05,1.466e-04,2.979e-04
1.140e-03,2.831e-03,2.483e-04,1.312e-04,4.610e-04,1.130e-04,6.363e-05,1.065e-04,2.876e-04
1.146e-03,2.825e-03,2.106e-04,1.546e-04,4.843e-04,1.016e-04,5.385e-05,9.036e-05,2.779e-04
