kx,MATx,MUOx,MLOx,MLFx,TATx,TOCx,taux
223.00183,850.0,1237.0,37236.0,531.0,1.1,0.27,0.0
227.76674,853.5106,1240.2255,37236.4,533.56464,1.1494261,0.27571872,0.014888048
233.63356,857.116,1243.4791,37236.8,536.10516,1.1903177,0.28173855,0.029554427
240.12785,860.8176,1246.7628,37237.215,538.6297,1.2249365,0.28799865,0.044002473
247.01938,864.6116,1250.0781,37237.633,541.1456,1.2549671,0.29445416,0.058235407
254.34949,868.4914,1253.4261,37238.06,543.6593,1.2816597,0.3010721,0.072256446
262.26666,872.45135,1256.8086,37238.496,546.1764,1.3059385,0.30782834,0.08606875
270.50427,876.4881,1260.2267,37238.94,548.70135,1.3284856,0.3147053,0.09967542
278.95557,880.5959,1263.6813,37239.395,551.23816,1.3498051,0.32169026,0.11307949
287.6692,884.7687,1267.1735,37239.855,553.79016,1.3702666,0.32877398,0.126284
296.7987,889.0015,1270.7039,37240.324,556.3598,1.3901386,0.33594987,0.13929194
306.16922,893.29083,1274.2738,37240.805,558.9493,1.4096165,0.34321323,0.15210623
315.72443,897.6315,1277.8832,37241.293,561.56006,1.4288416,0.35056075,0.16472971
325.44684,902.01855,1281.5328,37241.79,564.1933,1.447914,0.35799012,0.17716527
335.33002,906.44727,1285.2234,37242.297,566.84985,1.4669034,0.3654997,0.1894157
345.37378,910.91315,1288.9548,37242.812,569.53,1.4858572,0.3730884,0.20148373
355.57864,915.41205,1292.7274,37243.34,572.2339,1.504806,0.38075536,0.21337211
365.95892,919.9402,1296.5414,37243.875,574.9613,1.523769,0.38850006,0.22508347
376.52795,924.4934,1300.3966,37244.418,577.7118,1.5427563,0.39632207,0.23662049
387.27332,929.0685,1304.2931,37244.973,580.4848,1.5617721,0.404221,0.24798572
398.1899,933.6622,1308.2307,37245.535,583.27954,1.5808163,0.41219652,0.25918174
409.27716,938.2713,1312.2095,37246.11,586.09515,1.5998856,0.4202483,0.2702111
420.53806,942.8932,1316.2289,37246.69,588.9306,1.6189752,0.428376,0.28107625
431.97327,947.52515,1320.289,37247.29,591.78485,1.6380788,0.43657923,0.29177964
443.58353,952.1644,1324.3889,37247.89,594.6567,1.6571894,0.44485757,0.3023237
455.36905,956.8083,1328.5287,37248.504,597.54504,1.6762997,0.45321053,0.31271076
467.33075,961.4543,1332.7076,37249.13,600.44855,1.6954014,0.46163762,0.32294315
479.47345,966.09985,1336.9253,37249.76,603.366,1.714487,0.47013825,0.33302325
491.79852,970.7428,1341.1812,37250.406,606.2961,1.733548,0.4787118,0.34295326
504.30542,975.3808,1345.4747,37251.062,609.23737,1.7525773,0.48735765,0.35273546
516.9907,980.0115,1349.8052,37251.73,612.1886,1.771567,0.496075,0.36237198
529.84326,984.63257,1354.172,37252.41,615.14825,1.7905096,0.50486314,0.37186503
542.875,989.24176,1358.5745,37253.098,618.1151,1.8093977,0.5137212,0.38121676
556.0906,993.837,1363.0118,37253.797,621.0877,1.8282243,0.52264845,0.39042926
569.493,998.4161,1367.4834,37254.504,624.0647,1.8469827,0.53164387,0.3995046
583.0825,1002.977,1371.988,37255.227,627.04456,1.8656664,0.5407066,0.40844482
596.862,1007.5177,1376.5253,37255.957,630.02606,1.8842685,0.54983556,0.41725194
610.8325,1012.0361,1381.0941,37256.703,633.0077,1.9027832,0.5590298,0.42592794
624.99536,1016.5303,1385.6936,37257.457,635.98816,1.9212042,0.56828827,0.43447477
639.35126,1020.9985,1390.3228,37258.223,638.96606,1.9395258,0.57760984,0.44289434
653.9069,1025.4387,1394.981,37259.004,641.94006,1.9577429,0.58699346,0.45118856
668.7019,1029.8479,1399.6667,37259.793,644.9088,1.9758497,0.59643793,0.4593593
683.7012,1034.2245,1404.3794,37260.594,647.8708,1.9938405,0.6059421,0.46740842
698.8633,1038.566,1409.1178,37261.406,650.8247,2.0117097,0.6155047,0.47533768
714.235,1042.8704,1413.8809,37262.23,653.76917,2.0294514,0.6251245,0.48314893
