foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
2.878e-03,8.654e-03,1.703e-04,4.416e-04,3.943e-05,8.396e-05,2.939e-04,1.176e-04
1.933e-03,7.531e-03,3.655e-05,2.329e-04,1.275e-04,2.214e-05,1.597e-04,8.559e-05
1.355e-03,7.035e-03,4.325e-05,2.002e-04,2.684e-04,4.621e-05,1.650e-04,1.107e-04
1.508e-03,6.960e-03,1.714e-04,1.132e-06,1.467e-04,3.627e-06,6.765e-05,6.425e-05
1.701e-03,6.690e-03,2.775e-04,2.289e-04,1.225e-05,6.532e-05,5.263e-05,2.377e-05
1.085e-03,6.138e-03,3.743e-04,1.522e-04,3.520e-05,4.194e-05,3.648e-05,4.025e-05
7.930e-04,6.040e-03,4.469e-04,3.874e-05,9.465e-05,2.309e-05,3.630e-05,1.087e-04
1.951e-03,6.238e-03,5.053e-04,3.735e-04,4.849e-05,3.028e-05,7.021e-05,1.248e-04
1.311e-03,5.579e-03,5.684e-04,2.760e-04,2.208e-05,1.045e-05,6.914e-05,8.401e-05
1.138e-03,5.309e-03,6.578e-04,2.860e-04,5.549e-05,3.922e-05,4.411e-05,3.526e-05
1.005e-03,5.297e-03,7.038e-04,2.491e-04,4.813e-05,6.783e-05,3.457e-06,9.179e-06
1.490e-03,5.461e-03,7.673e-04,3.901e-04,5.701e-05,2.072e-05,1.028e-04,9.435e-05
1.278e-03,5.215e-03,7.739e-04,4.359e-04,4.312e-05,1.877e-05,1.248e-04,1.121e-04
9.785e-04,5.023e-03,7.223e-04,4.276e-04,6.664e-05,3.806e-05,1.521e-04,1.169e-04
9.242e-04,4.986e-03,5.970e-04,4.209e-04,2.483e-04,7.927e-05,3.318e-04,2.046e-04
7.416e-04,4.982e-03,6.287e-04,2.682e-04,1.945e-04,8.578e-05,2.554e-04,1.523e-04
6.437e-04,5.048e-03,6.509e-04,1.254e-04,1.452e-04,9.046e-05,1.835e-04,1.071e-04
5.953e-04,5.136e-03,6.678e-04,7.987e-06,1.040e-04,9.663e-05,1.184e-04,6.577e-05
7.856e-04,5.218e-03,7.308e-04,2.307e-05,1.046e-04,2.188e-05,2.058e-04,8.953e-05
6.858e-04,5.240e-03,6.582e-04,5.007e-06,2.980e-08,4.633e-05,2.796e-04,2.015e-05
5.697e-04,5.135e-03,6.485e-04,1.100e-04,5.516e-05,4.309e-05,2.608e-04,8.622e-05
4.933e-04,4.989e-03,6.732e-04,2.528e-04,7.826e-05,3.539e-05,2.084e-04,1.164e-04
7.272e-04,4.837e-03,7.895e-04,1.804e-04,2.822e-05,2.730e-05,3.105e-04,4.169e-05
8.062e-04,4.897e-03,8.121e-04,1.538e-04,4.965e-05,1.888e-05,3.144e-04,2.241e-05
7.888e-04,4.991e-03,7.896e-04,1.701e-04,3.204e-05,1.319e-05,2.670e-04,3.344e-05
7.726e-04,5.053e-03,7.664e-04,1.805e-04,1.559e-05,8.296e-06,2.246e-04,4.494e-05
7.548e-04,5.080e-03,7.422e-04,1.862e-04,1.848e-06,1.162e-06,1.874e-04,5.370e-05
8.136e-04,5.073e-03,7.339e-04,1.887e-04,1.006e-04,7.559e-05,1.571e-04,3.499e-05
8.855e-04,4.997e-03,7.123e-04,1.692e-04,1.257e-04,9.191e-05,1.519e-04,2.429e-05
1.005e-03,4.978e-03,6.814e-04,1.396e-04,8.643e-05,6.050e-05,1.632e-04,2.187e-05
1.029e-03,5.113e-03,6.026e-04,1.398e-04,6.047e-05,2.883e-05,1.174e-04,1.004e-05
1.009e-03,5.112e-03,5.571e-04,1.283e-04,7.597e-05,4.776e-05,7.087e-05,6.253e-05
8.810e-04,4.944e-03,5.438e-04,1.364e-04,8.073e-05,5.812e-05,4.160e-05,8.863e-05
6.083e-04,4.738e-03,5.987e-04,1.363e-04,1.348e-04,1.032e-04,1.317e-05,5.695e-05
7.011e-04,4.944e-03,5.655e-04,1.195e-04,1.230e-04,9.800e-05,2.837e-05,5.436e-05
7.414e-04,5.059e-03,5.357e-04,1.013e-04,1.126e-04,9.145e-05,4.154e-05,5.147e-05
7.521e-04,5.113e-03,5.076e-04,8.005e-05,1.026e-04,8.377e-05,5.156e-05,5.037e-05
8.223e-04,5.121e-03,4.366e-04,5.943e-05,3.609e-05,1.509e-05,4.888e-05,1.080e-04
7.980e-04,5.136e-03,4.284e-04,7.522e-05,3.141e-05,9.111e-06,4.804e-05,1.009e-04
7.689e-04,5.124e-03,4.186e-04,8.965e-05,2.512e-05,4.826e-06,4.566e-05,8.985e-05
7.367e-04,5.088e-03,4.089e-04,1.014e-04,2.050e-05,5.760e-07,4.172e-05,8.312e-05
7.041e-04,5.029e-03,3.974e-04,1.116e-04,1.571e-05,3.994e-06,3.535e-05,7.489e-05
6.678e-04,4.952e-03,3.870e-04,1.189e-04,1.207e-05,9.179e-06,2.718e-05,6.843e-05
6.560e-04,4.853e-03,3.661e-04,1.353e-04,3.630e-05,4.953e-06,6.437e-06,7.421e-05
7.081e-04,4.917e-03,3.489e-04,1.541e-04,5.317e-05,2.965e-06,2.873e-05,7.764e-05
7.687e-04,5.067e-03,3.378e-04,1.709e-04,4.727e-05,8.026e-06,2.837e-05,7.173e-05
7.950e-04,5.157e-03,3.306e-04,1.851e-04,4.309e-05,1.163e-05,3.022e-05,6.503e-05
8.026e-04,5.207e-03,3.247e-04,1.984e-04,3.910e-05,1.534e-05,3.266e-05,5.719e-05
7.976e-04,5.228e-03,3.192e-04,2.086e-04,3.555e-05,1.889e-05,3.743e-05,4.983e-05
