,foc_kplus,foc_lambd,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,5.921e-04,4.516e-03,2.779e-04,2.573e-04,1.304e-04,3.021e-05,1.076e-04,8.440e-05
std,2.784e-04,6.713e-04,2.611e-04,1.078e-04,1.049e-04,2.276e-05,8.785e-05,4.741e-05
min,3.022e-04,3.502e-03,4.098e-07,1.132e-06,2.980e-08,1.932e-07,9.537e-07,2.086e-06
0.1%,3.022e-04,3.502e-03,4.098e-07,1.132e-06,2.980e-08,1.932e-07,9.537e-07,2.086e-06
25%,4.298e-04,3.974e-03,5.037e-05,1.883e-04,5.525e-05,1.352e-05,4.087e-05,4.545e-05
50%,5.146e-04,4.513e-03,1.655e-04,2.410e-04,1.123e-04,2.428e-05,7.421e-05,8.087e-05
75%,6.709e-04,4.927e-03,4.837e-04,3.550e-04,1.769e-04,3.992e-05,1.620e-04,1.207e-04
99.9%,2.878e-03,8.654e-03,9.992e-04,4.416e-04,5.452e-04,1.032e-04,3.641e-04,2.046e-04
max,2.878e-03,8.654e-03,9.992e-04,4.416e-04,5.452e-04,1.032e-04,3.641e-04,2.046e-04
