kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
223.00183,850.0,1236.0,37236.0,371.0,258.0,1.1,0.27,0.0
227.67113,856.9411,1239.2394,37236.395,371.18558,257.29077,1.1494261,0.27571872,0.014888048
232.96866,863.67456,1242.5781,37236.793,371.62747,256.5977,1.1936,0.28173855,0.029554427
238.772,870.2576,1246.0107,37237.203,372.27927,255.92035,1.2336276,0.28802127,0.044002473
244.98929,876.7344,1249.5327,37237.62,373.10422,255.2584,1.2703906,0.2945365,0.058235407
251.62,883.1394,1253.1406,37238.047,374.0733,254.61153,1.3045906,0.30126014,0.072256446
258.68082,889.5001,1256.8317,37238.484,375.1635,253.97935,1.3367845,0.3081731,0.08606875
266.08005,895.83856,1260.604,37238.93,376.35663,253.36156,1.3674139,0.31526023,0.09967542
273.75253,902.17114,1264.4559,37239.383,377.6382,252.75778,1.3968289,0.32250956,0.11307949
281.8378,908.5101,1268.3861,37239.848,378.99683,252.16776,1.4253063,0.32991162,0.126284
290.2521,914.8667,1272.3937,37240.32,380.42325,251.59114,1.4530632,0.33745888,0.13929194
298.94995,921.2487,1276.478,37240.805,381.91028,251.02765,1.4802723,0.3451454,0.15210623
307.89417,927.66187,1280.6384,37241.3,383.45206,250.47696,1.5070688,0.35296643,0.16472971
317.15573,934.10974,1284.8745,37241.805,385.04398,249.93878,1.5335584,0.3609182,0.17716527
326.71286,940.5961,1289.1862,37242.32,386.68216,249.41286,1.5598232,0.3689977,0.1894157
336.52438,947.12317,1293.5729,37242.848,388.36353,248.8989,1.5859269,0.37720248,0.20148373
346.58002,953.69226,1298.0347,37243.387,390.08548,248.3966,1.6119193,0.3855306,0.21337211
356.85385,960.3039,1302.5713,37243.934,391.84595,247.90575,1.6378379,0.3939804,0.22508347
367.33075,966.958,1307.1825,37244.496,393.643,247.42604,1.6637108,0.40255058,0.23662049
378.00208,973.65393,1311.8683,37245.066,395.47507,246.95726,1.6895589,0.41123998,0.24798572
388.88818,980.39075,1316.6284,37245.652,397.34073,246.49911,1.7153968,0.4200476,0.25918174
399.99542,987.1678,1321.4628,37246.246,399.23862,246.0514,1.7412342,0.42897257,0.2702111
411.31784,993.9842,1326.371,37246.85,401.1675,245.61386,1.7670777,0.43801406,0.28107625
422.84766,1000.8386,1331.3529,37247.473,403.1264,245.18626,1.7929312,0.4471713,0.29177964
434.57376,1007.73,1336.4084,37248.105,405.1141,244.7684,1.8187965,0.45644358,0.3023237
