con,Omega,Theta,ygross,ynet,inv,Eind,carbontax,Abatement,Dam,Emissions
72.88046,0.0028556,0.07410616,105.17594,104.8756,24.223215,0.0,550.0,7.794185,0.3003404,2.6000004
75.03482,0.0031179856,0.072623625,108.27988,107.94226,25.068285,0.0,547.25684,7.863678,0.3376151,2.5408828
77.205574,0.00330808,0.071169734,111.48316,111.114365,26.00081,0.0,544.5275,7.934227,0.36879522,2.4831097
79.45056,0.0034425783,0.06974379,114.80893,114.4137,26.98348,0.0,541.8116,8.00721,0.39523873,2.4266498
81.82573,0.0035355038,0.068345435,118.27163,117.85347,27.973,0.0,539.1093,8.083326,0.4181498,2.371474
84.315674,0.0035979715,0.06697402,121.86736,121.42889,28.980627,0.0,536.4205,8.161947,0.4384753,2.3175528
86.9151,0.0036384813,0.065629184,125.59727,125.140274,30.01232,0.0,533.7451,8.2428465,0.45698327,2.2648573
89.62711,0.0036633778,0.06431042,129.46387,128.9896,31.067095,0.0,531.08307,8.325875,0.47427502,2.21336
92.44703,0.0036773186,0.06301711,133.46465,132.97386,32.1472,0.0,528.4342,8.410557,0.49079204,2.1630335
95.36452,0.00368367,0.061748803,137.58955,137.0827,33.2535,0.0,525.79865,8.49599,0.50683445,2.1138515
98.37712,0.0036848448,0.060505264,141.8343,141.31168,34.38446,0.0,523.1762,8.581722,0.5226375,2.065788
101.483665,0.0036825503,0.059285693,146.1976,145.65923,35.540054,0.0,520.5669,8.667427,0.53838,2.018817
104.68283,0.0036779817,0.058089968,150.67769,150.1235,36.719994,0.0,517.9706,8.752862,0.5541898,1.9729145
107.97275,0.003671968,0.056917313,155.27237,154.70222,37.924244,0.0,515.3871,8.837686,0.5701552,1.9280552
111.35164,0.0036650766,0.055767637,159.97934,159.393,39.15239,0.0,512.81665,8.92167,0.5863366,1.8842158
114.81786,0.00365769,0.05464019,164.79655,164.19379,40.40434,0.0,510.25897,9.004515,0.60277474,1.8413734
118.369934,0.003650062,0.053534854,169.7219,169.1024,41.679596,0.0,507.71402,9.086038,0.61949545,1.799505
122.00634,0.0036423565,0.052450925,174.75366,174.11714,42.978203,0.0,505.18176,9.165991,0.63651514,1.7585889
125.72595,0.0036346768,0.051388297,179.89008,179.23625,44.299637,0.0,502.66214,9.244246,0.6538423,1.718603
129.52776,0.0036270828,0.050346285,185.1299,184.45844,45.64388,0.0,500.15515,9.320602,0.67148143,1.6795262
133.4109,0.003619609,0.04932468,190.47194,189.78252,47.010643,0.0,497.66055,9.394968,0.689434,1.641338
137.37466,0.0036122694,0.04832311,195.9152,195.20749,48.39979,0.0,495.1785,9.467232,0.7076984,1.604018
141.4187,0.003605071,0.0473411,201.45906,200.7328,49.811172,0.0,492.70874,9.537294,0.72627425,1.5675465
145.54245,0.0035980109,0.046378378,207.10289,206.35773,51.24472,0.0,490.2514,9.605097,0.74515843,1.5319042
149.74574,0.0035910814,0.04543441,212.84624,212.0819,52.700325,0.0,487.80627,9.670545,0.76434815,1.4970726
154.02849,0.0035842764,0.044509087,218.68903,217.90518,54.17792,0.0,485.37332,9.733648,0.78384185,1.463033
158.39067,0.0035775865,0.043601822,224.63094,223.8273,55.677353,0.0,482.95248,9.794318,0.80363655,1.4297671
162.83232,0.0035710034,0.042712513,230.67216,229.84843,57.198727,0.0,480.5438,9.852589,0.8237311,1.3972578
167.35359,0.0035645189,0.041840572,236.81279,235.96866,58.74202,0.0,478.147,9.908382,0.84412366,1.3654873
171.95468,0.0035581281,0.04098584,243.05281,242.18802,60.30705,0.0,475.76218,9.961724,0.8648131,1.3344394
176.63583,0.003551824,0.040147923,249.39255,248.50674,61.89388,0.0,473.38937,10.012592,0.8857984,1.3040975
181.39842,0.003545601,0.039326556,255.83223,254.92516,63.501415,0.0,471.02832,10.061001,0.907079,1.2744458
186.24219,0.0035394565,0.038521364,262.37115,261.4425,65.12918,0.0,468.67902,10.106894,0.9286513,1.2454677
191.16437,0.0035333864,0.03773205,269.0079,268.0574,66.77867,0.0,466.3415,10.15022,0.95050895,1.2171489
196.16565,0.0035273882,0.036958374,275.7433,274.77066,68.44991,0.0,464.01566,10.191024,0.9726537,1.189474
201.24672,0.0035214582,0.03619996,282.57797,281.5829,70.14287,0.0,461.7013,10.229313,0.9950865,1.1624283
206.40805,0.0035155958,0.035456534,289.51254,288.49472,71.85766,0.0,459.39856,10.265111,1.017809,1.1359975
211.6478,0.0035098009,0.034727883,296.54764,295.5068,73.59668,0.0,457.10733,10.298472,1.0408232,1.1101677
216.93044,0.00350407,0.03401364,303.68387,302.6197,75.396065,0.0,454.8275,10.329393,1.0641295,1.0849252
222.29305,0.0034984043,0.033313546,310.9215,309.83377,77.21907,0.0,452.55902,10.357898,1.0877291,1.0602567
227.73613,0.0034928026,0.032627333,318.26126,317.14963,79.06573,0.0,450.30185,10.384016,1.1116238,1.036149
233.26036,0.003487263,0.031954784,325.7037,324.56793,80.93605,0.0,448.05597,10.407792,1.1358145,1.0125896
238.86626,0.0034817874,0.031295594,333.2496,332.08936,82.830124,0.0,445.82132,10.429245,1.1603044,0.9895659
244.5545,0.0034763743,0.030649554,340.89963,339.71454,84.74794,0.0,443.59775,10.448422,1.1850947,0.9670655
250.32536,0.003471024,0.03001631,348.6544,347.4442,86.689804,0.0,441.38525,10.465318,1.2101877,0.9450767
256.17804,0.003465735,0.029395726,356.51447,355.27887,88.65719,0.0,439.1839,10.480001,1.2355846,0.92358804
262.11035,0.0034605078,0.028787497,364.47644,363.21515,90.64878,0.0,436.99344,10.492365,1.2612737,0.9025879
