kplusy,lambd_haty
225.38467,1.0669973
228.13078,1.079473
231.45543,1.0919605
235.4279,1.1032972
239.99625,1.1124436
245.1486,1.1198335
250.88387,1.1256859
257.1727,1.130059
263.94006,1.1331525
271.15063,1.135252
278.79037,1.1364865
286.8424,1.1369541
295.28934,1.1367495
304.1136,1.135968
313.29834,1.1346936
322.8284,1.1330042
332.6897,1.1309661
342.8702,1.1286405
353.35873,1.1260774
364.14633,1.1233212
375.22485,1.1204091
386.58762,1.1173726
398.22925,1.1142379
410.14514,1.1110282
422.33154,1.1077614
434.78592,1.1044536
447.5057,1.1011164
460.49023,1.0977622
473.73795,1.0943997
487.24814,1.0910355
501.0207,1.0876758
515.0478,1.0843166
529.3193,1.0809684
543.8369,1.0776601
558.6028,1.074391
573.61926,1.0711597
588.88837,1.0679666
604.4118,1.0648284
620.18854,1.0619996
636.2211,1.0592059
652.5118,1.0564467
669.06226,1.0537208
685.8752,1.0510279
702.95337,1.048366
720.29755,1.0457368
737.8839,1.0431476
755.7123,1.0406117
773.78845,1.0381272
792.11694,1.0356877
810.70026,1.0332912
829.54364,1.030935
848.64984,1.0286155
868.0211,1.0263313
887.6611,1.024081
907.5714,1.021862
927.7549,1.0197042
948.2093,1.0177859
968.9372,1.0158948
989.94244,1.0140294
1011.22516,1.0121906
1032.7882,1.0103749
1054.6343,1.0085832
1076.764,1.0068154
1099.1791,1.0050701
1121.881,1.0033472
1144.8729,1.001644
1168.1548,0.9999634
1191.7279,0.99830306
1215.5936,0.99666345
1239.7542,0.9950433
1264.2104,0.99344325
1288.9644,0.9918627
1314.0145,0.9903016
1339.3655,0.9887596
1365.0287,0.9872589
1391.0084,0.98577714
1417.3037,0.98430616
1443.9138,0.98284805
1470.8384,0.98140293
1498.0768,0.9799716
1525.629,0.9785541
1553.487,0.9772428
1581.6422,0.9760838
1610.098,0.9749417
1638.8545,0.9738176
1667.9152,0.9727092
1697.2817,0.97161746
1726.9528,0.97054034
1756.9338,0.9694777
1787.224,0.9684298
1817.825,0.9673949
1848.739,0.9663733
1879.9673,0.9653646
1911.5098,0.9643683
1943.3661,0.9633853
1975.5369,0.9624133
2008.0226,0.9614541
2040.8292,0.9605062
2073.9507,0.95957035
2107.3909,0.9586452
