foc_kplus,foc_lambd
3.914e-03,6.325e-03
1.239e-03,3.966e-03
4.029e-05,2.847e-03
1.049e-05,2.708e-03
2.034e-04,2.647e-03
3.887e-04,2.911e-03
3.959e-04,3.511e-03
3.872e-04,4.131e-03
4.873e-04,4.263e-03
5.566e-04,4.255e-03
5.761e-04,4.297e-03
5.593e-04,4.349e-03
5.198e-04,4.389e-03
4.632e-04,4.407e-03
3.961e-04,4.399e-03
3.202e-04,4.364e-03
2.429e-04,4.309e-03
1.602e-04,4.236e-03
7.749e-05,4.154e-03
6.080e-06,4.066e-03
9.012e-05,3.975e-03
1.746e-04,3.889e-03
2.564e-04,3.811e-03
3.387e-04,3.743e-03
4.203e-04,3.688e-03
5.019e-04,3.648e-03
5.815e-04,3.625e-03
6.602e-04,3.621e-03
7.391e-04,3.635e-03
8.171e-04,3.670e-03
9.038e-04,3.724e-03
9.809e-04,3.762e-03
1.028e-03,3.771e-03
1.074e-03,3.802e-03
1.121e-03,3.854e-03
1.167e-03,3.927e-03
1.194e-03,4.020e-03
9.590e-04,4.122e-03
1.004e-03,4.058e-03
1.048e-03,4.014e-03
1.091e-03,3.988e-03
1.134e-03,3.979e-03
1.177e-03,3.988e-03
1.218e-03,4.015e-03
1.250e-03,4.056e-03
1.264e-03,4.005e-03
1.276e-03,3.958e-03
1.289e-03,3.929e-03
1.302e-03,3.920e-03
1.315e-03,3.926e-03
1.328e-03,3.948e-03
1.342e-03,3.986e-03
1.354e-03,4.035e-03
1.368e-03,4.097e-03
1.349e-03,4.170e-03
1.148e-03,4.233e-03
1.162e-03,4.156e-03
1.174e-03,4.091e-03
1.186e-03,4.037e-03
1.200e-03,3.993e-03
1.212e-03,3.959e-03
1.222e-03,3.935e-03
1.234e-03,3.919e-03
1.244e-03,3.912e-03
1.256e-03,3.912e-03
1.265e-03,3.922e-03
1.276e-03,3.937e-03
1.285e-03,3.960e-03
1.295e-03,3.990e-03
1.302e-03,4.025e-03
1.311e-03,4.067e-03
1.319e-03,4.115e-03
1.326e-03,4.168e-03
1.311e-03,4.228e-03
1.318e-03,4.305e-03
1.333e-03,4.388e-03
1.347e-03,4.474e-03
1.361e-03,4.562e-03
1.374e-03,4.654e-03
1.386e-03,4.750e-03
1.304e-03,4.848e-03
1.175e-03,4.869e-03
1.182e-03,4.776e-03
1.186e-03,4.691e-03
1.192e-03,4.609e-03
1.196e-03,4.536e-03
1.201e-03,4.467e-03
1.205e-03,4.402e-03
1.209e-03,4.344e-03
