kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
223.00183,850.0,1236.0,37236.0,371.0,258.0,1.1,0.27,0.0
225.30365,846.89056,1239.2394,37236.395,371.18558,257.29077,1.1494261,0.27571872,0.014888048
228.05258,844.2262,1242.369,37236.793,371.01138,256.5977,1.1839463,0.28173855,0.029554427
231.37971,841.91656,1245.4,37237.203,370.55768,255.92035,1.2077746,0.28795475,0.044002473
235.35414,839.8898,1248.341,37237.617,369.8882,255.2584,1.2239668,0.2942923,0.058235407
239.92442,838.0886,1251.199,37238.04,369.05362,254.61153,1.2347324,0.30069774,0.072256446
245.0782,836.4677,1253.98,37238.473,368.09406,253.97935,1.2416639,0.30713326,0.08606875
250.8148,834.9909,1256.6888,37238.91,367.04126,253.36156,1.2459048,0.31357217,0.09967542
257.1047,833.62964,1259.3295,37239.355,365.9204,252.75778,1.2482731,0.31999594,0.11307949
263.87286,832.3613,1261.9049,37239.81,364.75128,252.16776,1.2493507,0.32639176,0.126284
271.0843,831.16785,1264.4185,37240.266,363.54947,251.59114,1.2495499,0.33275095,0.13929194
278.72458,830.0351,1266.8724,37240.73,362.3273,251.02765,1.2491608,0.3390677,0.15210623
286.77734,828.9517,1269.2688,37241.2,361.09436,250.47696,1.2483857,0.34533823,0.16472971
295.2247,827.9088,1271.6093,37241.676,359.85815,249.93878,1.2473646,0.35156024,0.17716527
304.04916,826.8994,1273.8959,37242.156,358.6245,249.41286,1.2461936,0.35773233,0.1894157
313.23425,825.9179,1276.1298,37242.645,357.39798,248.8989,1.2449372,0.3638538,0.20148373
322.7644,824.96,1278.3123,37243.137,356.18198,248.3966,1.2436384,0.3699245,0.21337211
332.62613,824.02216,1280.4446,37243.637,354.97916,247.90575,1.242325,0.37594438,0.22508347
342.8065,823.10175,1282.5281,37244.14,353.79153,247.42604,1.2410146,0.38191375,0.23662049
353.29526,822.1966,1284.5634,37244.652,352.62057,246.95726,1.2397175,0.38783297,0.24798572
364.08298,821.30505,1286.5518,37245.168,351.46732,246.49911,1.2384396,0.39370245,0.25918174
375.1614,820.4257,1288.4939,37245.688,350.3325,246.0514,1.2371833,0.3995227,0.2702111
386.52426,819.55774,1290.3909,37246.207,349.21664,245.61386,1.23595,0.40529418,0.28107625
398.1658,818.70013,1292.2437,37246.74,348.12003,245.18626,1.2347392,0.4110174,0.29177964
410.08142,817.85236,1294.0529,37247.273,347.04276,244.7684,1.2335496,0.41669282,0.3023237
422.26794,817.01385,1295.8195,37247.81,345.98495,244.36003,1.2323803,0.42232096,0.31271076
434.72195,816.18414,1297.544,37248.35,344.9465,243.96095,1.2312297,0.42790228,0.32294315
447.44208,815.36304,1299.2275,37248.9,343.92725,243.57094,1.2300963,0.4334372,0.33302325
460.42648,814.5503,1300.8707,37249.445,342.92697,243.1898,1.228979,0.4389262,0.34295326
473.67386,813.74567,1302.4742,37250.004,341.94553,242.81732,1.2278768,0.44436964,0.35273546
487.1838,812.949,1304.0388,37250.566,340.9826,242.45332,1.2267885,0.449768,0.36237198
500.95596,812.1603,1305.5651,37251.13,340.03787,242.0976,1.2257134,0.45512167,0.37186503
514.9831,811.3792,1307.054,37251.7,339.11108,241.74995,1.2246509,0.46043104,0.38121676
529.2543,810.6058,1308.5059,37252.27,338.2019,241.41023,1.2236003,0.4656965,0.39042926
543.77167,809.83984,1309.9218,37252.848,337.31003,241.07822,1.2225612,0.47091848,0.3995046
558.53766,809.0815,1311.3021,37253.42,336.43512,240.75375,1.2215332,0.4760973,0.40844482
