con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
76.885826,0.008470001,0.0020910562,105.17594,104.2851,27.181208,27.503572,55.676544,61.211246,0.21992882,0.8908403,30.103573
79.2569,0.009248262,0.0021031238,108.58407,107.57986,28.096699,27.870907,57.01078,61.886868,0.22836573,1.0042139,30.41179
81.735306,0.009932089,0.0021257945,112.10479,110.991356,29.020111,28.223074,58.449856,62.762074,0.23831174,1.1134348,30.706186
84.30774,0.010540312,0.002150503,115.73093,114.511086,29.957094,28.57183,59.9907,63.682964,0.2488797,1.2198402,30.99848
86.96995,0.011089116,0.0021786657,119.462326,118.137596,30.910261,28.913576,61.628056,64.675835,0.26026848,1.3247316,31.28505
89.71931,0.011591943,0.0022121407,123.29871,121.869446,31.880537,29.243587,63.35832,65.77534,0.2727541,1.4292716,31.561142
92.5521,0.012059663,0.002250912,127.23915,125.70468,32.869625,29.560555,65.175804,66.98172,0.2864041,1.5344613,31.82541
95.46571,0.012500924,0.0022953143,131.2826,129.64143,33.87816,29.862476,67.07635,68.30155,0.30133483,1.6411537,32.075836
98.45762,0.0129225105,0.0023454484,135.42757,133.67749,34.906353,30.147707,69.05606,69.736984,0.31763834,1.7500643,32.31074
101.525154,0.013329695,0.0024008004,139.6726,137.8108,35.95479,30.415966,71.11096,71.27865,0.33532602,1.8617933,32.529816
104.64701,0.013726526,0.0024623305,144.01656,142.03972,37.04297,30.664392,73.21372,72.94379,0.35461637,1.9768472,32.730183
107.83383,0.014116101,0.0025333967,148.45973,146.36404,38.159435,30.88536,75.37695,74.79338,0.3761074,2.0956724,32.904175
111.09323,0.014500749,0.002609806,152.99902,150.78041,39.293682,31.08596,77.609024,76.750046,0.39929777,2.2186007,33.058872
114.42202,0.014882162,0.0026913388,157.6328,155.2869,40.44694,31.265524,79.905716,78.809586,0.42424327,2.345917,33.19358
117.81839,0.01526159,0.0027782235,162.35994,159.88206,41.619484,31.42304,82.26475,80.97534,0.4510722,2.4778707,33.307255
121.272804,0.015639922,0.0028738328,167.17976,164.5651,42.81935,31.550959,84.68035,83.30719,0.48044667,2.6146784,33.392326
124.794975,0.016017769,0.0029749773,172.09384,169.33728,44.03853,31.655752,87.15823,85.74668,0.5119753,2.7565591,33.455257
128.38397,0.016395485,0.003081437,177.10138,174.1977,45.276955,31.737154,89.69668,88.289536,0.5457267,2.9036627,33.495747
132.03923,0.01677328,0.003193049,182.20172,179.1456,46.534348,31.795258,92.29441,90.93205,0.581779,3.0561204,33.51386
135.76022,0.01715122,0.0033096345,187.39447,184.1804,47.810623,31.829851,94.95046,93.67091,0.6202072,3.2140436,33.50938
139.54672,0.017529283,0.0034310387,192.67934,189.30179,49.105576,31.841087,97.66398,96.502846,0.66109025,3.3775306,33.48243
143.39758,0.017907375,0.0035556161,198.05595,194.5093,50.42011,31.831978,100.43426,99.399284,0.704211,3.5466623,33.435997
147.31142,0.018285342,0.0036798224,203.52444,199.80293,51.756294,31.80931,103.26104,102.299965,0.7489338,3.7215142,33.376858
151.28966,0.01866299,0.0038079936,209.08408,205.18193,53.110947,31.764193,106.14301,105.27987,0.79619086,3.902134,33.296097
155.33243,0.019040152,0.003940007,214.73515,210.64656,54.484196,31.696623,109.080154,108.33727,0.84605813,4.08859,33.193695
159.44002,0.01941662,0.004075723,220.47795,216.19702,55.87585,31.606998,112.072426,111.4696,0.8986071,4.2809367,33.070034
163.61247,0.019792132,0.0042149965,226.31267,221.83347,57.28596,31.495281,115.11981,114.67507,0.9539072,4.4792104,32.92505
167.85013,0.020166434,0.0043576965,232.23979,227.55634,58.714573,31.36191,118.222374,117.95145,1.0120305,4.6834483,32.75917
172.14992,0.02053922,0.0045050476,238.25966,233.36601,60.16477,31.204216,121.37842,121.31982,1.0733712,4.893668,32.569702
176.51225,0.020910202,0.004655467,244.3701,239.26027,61.634163,31.025085,124.58601,124.75391,1.1376569,5.1098285,32.359528
180.93796,0.021279052,0.0048082424,250.57103,245.23914,63.12202,30.825794,127.84535,128.24274,1.2048063,5.3319144,32.12989
185.42769,0.021645444,0.004963229,256.86313,251.30324,64.62828,30.606737,131.15714,131.78455,1.2748705,5.559917,31.881186
189.98213,0.022009054,0.005120321,263.24738,257.45355,66.15317,30.36812,134.522,135.37848,1.3479111,5.793826,31.613588
194.60143,0.02236957,0.0052802,269.7245,263.69086,67.69707,30.108686,137.94139,139.03645,1.4241991,6.0336204,31.325836
199.28485,0.022726687,0.005442761,276.29373,270.0145,69.26002,29.82861,141.4141,142.75722,1.5038006,6.2792406,31.018084
204.03178,0.023080084,0.0056062476,282.95364,276.42307,70.84158,29.531057,144.93732,146.51344,1.5863082,6.530594,30.693483
208.84293,0.023429446,0.0057706097,289.70538,282.91776,72.44224,29.216263,148.51196,150.30537,1.6717768,6.787637,30.352259
