kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
227.50204,0.98735285,0.25353786,2.7101808,-1.0089102,-0.004035701,-2.4680305,-0.10530867,-0.5822037
232.39873,0.9971011,0.2560823,2.703398,-1.0016029,-0.004279812,-2.4576817,-0.107338324,-0.58199555
237.70964,1.0053179,0.25914833,2.6971786,-0.99486446,-0.004091014,-2.4487994,-0.10904427,-0.5814753
243.42145,1.0123376,0.2623369,2.6920102,-0.989026,-0.0039632814,-2.4412348,-0.11059596,-0.5810851
249.52168,1.0183169,0.26571482,2.6877828,-0.98394215,-0.003878911,-2.4348025,-0.112055734,-0.5808302
255.99516,1.0233777,0.2693696,2.6843882,-0.9794477,-0.0038391547,-2.429273,-0.11348368,-0.58074
262.82584,1.0276499,0.2732996,2.681706,-0.9754705,-0.0038190978,-2.4245725,-0.11488731,-0.5807749
269.99826,1.0312395,0.27751893,2.6796365,-0.9719224,-0.0038125115,-2.420581,-0.11628528,-0.58092374
277.49664,1.0342407,0.2820299,2.6780968,-0.9687315,-0.003813018,-2.4171941,-0.117688015,-0.5811744
285.30826,1.0367434,0.2868055,2.677016,-0.96584713,-0.0038153725,-2.4143338,-0.11909671,-0.5815076
293.43076,1.0390989,0.29188564,2.6761878,-0.96299803,-0.0037930803,-2.4120064,-0.120468214,-0.5818181
301.83945,1.0411721,0.29741758,2.6756139,-0.96020347,-0.0037754374,-2.4100485,-0.12187846,-0.5822171
310.51987,1.0428867,0.303203,2.675342,-0.9576163,-0.0037567513,-2.4084015,-0.12330492,-0.58267874
319.462,1.0443178,0.30922773,2.6753287,-0.9551991,-0.0037410753,-2.407017,-0.124751106,-0.5832031
328.6575,1.0455137,0.31549624,2.675565,-0.9529401,-0.003731032,-2.4058716,-0.12619562,-0.58375853
338.11383,1.0466182,0.32214946,2.6762688,-0.950914,-0.0037609832,-2.4050477,-0.12751855,-0.58420223
347.8231,1.0475236,0.3290401,2.677168,-0.94901425,-0.003791471,-2.404415,-0.12884851,-0.58467865
357.77838,1.0482612,0.33615416,2.678234,-0.947224,-0.0038243132,-2.403948,-0.13018186,-0.5851805
367.97363,1.0488541,0.34347925,2.679443,-0.9455285,-0.0038576322,-2.4036224,-0.13151492,-0.58570427
378.40445,1.0493246,0.35100436,2.6807764,-0.9439169,-0.0038920837,-2.4034216,-0.13284881,-0.58624357
389.06705,1.0496887,0.35871896,2.682215,-0.9423822,-0.003927757,-2.403328,-0.1341783,-0.58679485
399.957,1.0499703,0.3665544,2.6837687,-0.9409609,-0.003951867,-2.40338,-0.13549925,-0.5873957
411.07004,1.0501955,0.37437192,2.6854663,-0.93975174,-0.0039445357,-2.403672,-0.13679959,-0.5881276
422.40393,1.0503566,0.38234383,2.6872284,-0.9385944,-0.00393789,-2.4040306,-0.13809122,-0.5888602
433.9578,1.0504616,0.3904645,2.6890492,-0.9374838,-0.003933062,-2.4044495,-0.13937326,-0.58958924
445.7313,1.0505165,0.39872673,2.6909192,-0.9364182,-0.003929128,-2.4049225,-0.14064558,-0.59031546
457.72366,1.0505273,0.40712512,2.6928349,-0.93539536,-0.003927429,-2.405445,-0.14190574,-0.59103656
469.93594,1.0504993,0.41565353,2.6947892,-0.93441254,-0.0039267736,-2.4060128,-0.1431532,-0.5917516
482.35056,1.0504656,0.42435706,2.6968417,-0.9334628,-0.003933062,-2.4066741,-0.14434876,-0.5924504
494.9652,1.0504265,0.43317676,2.6989264,-0.9325413,-0.003941943,-2.4073758,-0.14551766,-0.5931361
507.782,1.0503783,0.44208822,2.701023,-0.93164754,-0.0039524334,-2.4080963,-0.14666755,-0.59380835
