con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.27081,0.0028556,0.00033412268,105.17594,104.8756,27.569756,32.231068,19.072866,19.801683,0.035141665,0.3003404,34.83107
79.76742,0.0031179856,0.00034228832,108.71515,108.376175,28.571669,32.73199,19.631538,20.248108,0.037211925,0.33897227,35.272877
82.36704,0.0033554744,0.00035044787,112.36638,111.989334,29.583038,33.237595,20.22583,20.697313,0.039378557,0.3770425,35.720707
85.06379,0.0035727902,0.00035888673,116.1273,115.71241,30.607092,33.74457,20.853298,21.15977,0.041676547,0.41489846,36.17122
87.84926,0.003774108,0.000367323,119.99573,119.542854,31.64968,34.252926,21.510527,21.625296,0.044077188,0.4528768,36.6244
90.72394,0.003962981,0.00037529966,123.97054,123.47925,32.708977,34.763992,22.204472,22.077478,0.046526104,0.49129292,37.081547
93.68586,0.0041423654,0.00038422953,128.04979,127.51937,33.78451,35.26855,22.927784,22.567518,0.04920051,0.53042907,37.533405
96.73172,0.0043146876,0.00039412684,132.23099,131.66046,34.87685,35.764935,23.67919,23.09588,0.05211578,0.57053536,37.978294
99.858246,0.0044819014,0.00040498268,136.5116,135.89977,35.98649,36.251606,24.457449,23.662151,0.05528483,0.61183155,38.41464
103.063286,0.00464557,0.00041680006,140.88957,140.23505,37.11331,36.727272,25.261995,24.2663,0.058722775,0.65451235,38.84112
106.34466,0.00480693,0.0004295696,145.36316,144.6644,38.25761,37.191013,26.09204,24.90774,0.06244359,0.6987505,39.256805
109.6998,0.004966955,0.00044324773,149.9307,149.186,39.42007,37.641838,26.946356,25.584805,0.066456445,0.74469906,39.660652
113.1265,0.005126405,0.0004578034,154.59085,153.79836,40.601444,38.079277,27.82483,26.296106,0.070772216,0.79249537,40.052193
116.62447,0.005285869,0.00047323204,159.34213,158.49988,41.800392,38.502308,28.725868,27.041372,0.07540581,0.8422616,40.430367
120.192726,0.0054457965,0.00048952986,164.18361,163.28949,43.016834,38.910515,29.64908,27.820194,0.08037277,0.8941105,40.79473
123.830696,0.005606529,0.0005066897,169.11493,168.16678,44.250866,39.303257,30.59424,28.632227,0.08568879,0.9481477,41.144627
127.538315,0.0057683205,0.00052472844,174.1357,173.13123,45.50207,39.680218,31.561834,29.477781,0.09137395,1.0044706,41.47972
131.31514,0.0059313555,0.0005436416,179.24568,178.18251,46.770515,40.040817,32.551838,30.356625,0.09744542,1.06317,41.799404
135.16095,0.0060957577,0.0005634275,184.44489,183.32056,48.056297,40.385014,33.56378,31.268442,0.103921324,1.1243312,42.103615
139.07495,0.006261614,0.00058410503,189.73337,188.54533,49.360237,40.712215,34.59716,32.21382,0.11082421,1.1880372,42.39174
143.0543,0.006428973,0.0006057946,195.11177,193.8574,50.685646,41.021763,35.650013,33.19662,0.118197665,1.2543683,42.6631
147.10593,0.0065978467,0.000628542,200.58365,199.26022,52.029045,41.313877,36.726303,34.218166,0.12607524,1.32342,42.917896
151.22331,0.0067682345,0.00065253006,206.14923,204.75397,53.397026,41.587242,37.824467,35.284367,0.13451856,1.3952663,43.15479
155.401,0.00694011,0.0006775863,211.80798,210.338,54.794483,41.842606,38.941692,36.389168,0.14351818,1.4699707,43.374508
159.64954,0.007113435,0.0007036835,217.55983,216.01222,56.210686,42.079777,40.081745,37.531548,0.15309325,1.5475978,43.576847
163.9664,0.0072881547,0.000730954,223.40526,221.77705,57.648537,42.298138,41.24446,38.71559,0.16329896,1.6282119,43.76117
168.35106,0.007464208,0.00075916114,229.34123,227.6294,59.10553,42.498104,42.42878,39.933537,0.17410696,1.7118508,43.927868
172.80429,0.007641523,0.00078828953,235.3683,233.56972,60.581318,42.679993,43.63481,41.184742,0.18553837,1.7985722,44.077248
177.32668,0.007820021,0.0008183499,241.48718,239.59874,62.075993,42.84351,44.862896,42.4697,0.197621,1.888435,44.208996
181.91893,0.007999624,0.0008493587,247.69864,245.71718,63.58952,42.988785,46.113277,43.788857,0.210385,1.9814961,44.323227
186.57892,0.008180243,0.0008814099,254.00352,251.92569,65.12471,43.11524,47.385258,45.145264,0.22388121,2.0778103,44.41934
191.30438,0.008361788,0.0009145089,260.40134,258.2239,66.68336,43.22279,48.677895,46.539043,0.23813933,2.1774206,44.49724
196.09802,0.008544172,0.0009484544,266.89093,264.61057,68.261566,43.312218,49.992085,47.96399,0.25313386,2.280362,44.557682
200.961,0.008727295,0.000983265,273.47336,271.08667,69.85913,43.383556,51.328262,49.420856,0.2688968,2.3866827,44.600708
205.88586,0.008911066,0.0010196327,280.14978,277.65332,71.48435,43.433212,52.687126,50.931015,0.28564987,2.496433,44.62269
210.87407,0.009095383,0.0010575437,286.92102,284.31134,73.136604,43.461315,54.068996,52.4939,0.3034315,2.6096566,44.62374
215.93324,0.00928014,0.0010964232,293.78787,291.0615,74.8091,43.471153,55.47396,54.091908,0.32211584,2.7263923,44.607147
