kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
228.41896,0.9802279,0.12523109,0.9248484,-0.35555065,-0.001096406,-0.85238945,-0.03349455,-0.21477349
234.2112,0.9878612,0.12738574,0.9251933,-0.35332513,-0.0010161186,-0.85089636,-0.034329493,-0.21541862
240.43445,0.9941568,0.12954894,0.9256217,-0.35146633,-0.0009903694,-0.8497027,-0.03510316,-0.2160355
247.06332,0.9993169,0.13176169,0.9261146,-0.34990135,-0.0010024393,-0.8487648,-0.03583594,-0.21664713
254.08263,1.0035708,0.1339841,0.92675394,-0.34847465,-0.0009127343,-0.8479964,-0.036427516,-0.2171004
261.4721,1.0069867,0.13615312,0.9276149,-0.34737232,-0.0007804418,-0.8475708,-0.037142653,-0.21780775
269.20813,1.0096664,0.13846618,0.9285124,-0.3464212,-0.00067696813,-0.8472935,-0.037841756,-0.21852107
277.2699,1.0117271,0.14092322,0.929444,-0.34559247,-0.00059367064,-0.8471419,-0.03853174,-0.2192448
285.63855,1.0132729,0.14352071,0.9304086,-0.34486398,-0.00052592997,-0.84709716,-0.03921594,-0.21997829
294.29794,1.0143838,0.14625646,0.93141246,-0.34422746,-0.00047317985,-0.84715474,-0.039900023,-0.22072311
303.23477,1.0151331,0.1491262,0.9324541,-0.34366766,-0.00043196324,-0.8473011,-0.040587563,-0.22148009
312.4351,1.015591,0.15212163,0.93352807,-0.34315047,-0.0003981376,-0.8475172,-0.041271824,-0.22225018
321.8862,1.015818,0.15523565,0.9346561,-0.34266505,-0.00037706736,-0.84781957,-0.0419568,-0.22303899
331.58057,1.0158429,0.15846542,0.9357917,-0.34221044,-0.00035617594,-0.8481497,-0.04263552,-0.22383256
341.51068,1.0156997,0.16180755,0.9369337,-0.34178105,-0.0003353441,-0.8485048,-0.043309886,-0.2246327
351.6721,1.0154164,0.16525908,0.9380829,-0.3413746,-0.00031391624,-0.84888077,-0.04397883,-0.22543602
362.0606,1.0150107,0.16881937,0.9392501,-0.34099784,-0.00029758457,-0.84929043,-0.04464938,-0.22624369
372.673,1.0145038,0.17248592,0.94043696,-0.3406497,-0.0002850676,-0.8497318,-0.045323092,-0.22705455
383.50656,1.0139116,0.17625594,0.94163525,-0.34031788,-0.00027424935,-0.8501917,-0.045993943,-0.22786742
394.5642,1.0132557,0.18012996,0.9428421,-0.340014,-0.00026614312,-0.85066617,-0.04665615,-0.22867031
405.86655,1.0125761,0.18411976,0.9440553,-0.339788,-0.00026226882,-0.8511468,-0.047274906,-0.22940893
417.4113,1.0118098,0.18822806,0.94527984,-0.33958128,-0.00025896076,-0.8516473,-0.04789229,-0.23014863
429.19397,1.0110338,0.1924731,0.946541,-0.33944282,-0.00025496725,-0.8522365,-0.048494298,-0.23090543
441.21118,1.0103042,0.19683203,0.947813,-0.3392339,-0.00033045653,-0.8528647,-0.04909255,-0.23168539
453.4626,1.0095252,0.20129974,0.9490923,-0.33903778,-0.00040734652,-0.85350406,-0.049687047,-0.23246472
465.9265,1.0087289,0.2058881,0.95040077,-0.33879098,-0.00050912146,-0.85414493,-0.05027737,-0.23327036
478.60226,1.0079249,0.2105697,0.95171756,-0.33854386,-0.0006175125,-0.85478973,-0.05086257,-0.23407543
491.49277,1.0071127,0.21534121,0.9530383,-0.33830503,-0.0007263804,-0.855438,-0.05144163,-0.23487565
504.6011,1.0062927,0.22020319,0.9543637,-0.33807456,-0.000837096,-0.8560916,-0.052016515,-0.23566923
517.93024,1.0054634,0.22515601,0.95569193,-0.3378521,-0.00094918255,-0.8567491,-0.052586395,-0.23645891
531.4738,1.004646,0.23020835,0.9570368,-0.33761716,-0.0010658288,-0.8574153,-0.053133804,-0.23723122
545.2219,1.0038611,0.23535939,0.9584047,-0.3373522,-0.0011901343,-0.85809106,-0.053647596,-0.23798214
559.1791,1.0030903,0.24058852,0.95977426,-0.3370935,-0.0013183141,-0.8587688,-0.054155666,-0.23872486
573.34973,1.0023279,0.24589737,0.9611444,-0.33684036,-0.0014472986,-0.8594463,-0.054657716,-0.23946099
587.7374,1.0016297,0.25135127,0.9625523,-0.3367707,-0.0015065754,-0.8602596,-0.05518009,-0.24014105
602.3456,1.0009847,0.2569463,0.96399164,-0.33686545,-0.0015043998,-0.86119413,-0.05571993,-0.24077211
617.1779,1.0003407,0.2626269,0.96543205,-0.3369644,-0.0015052045,-0.862128,-0.056254227,-0.24139588
632.2393,0.9996952,0.268393,0.9668725,-0.33706924,-0.0015076185,-0.86306155,-0.056782383,-0.24201337
647.5323,0.9990468,0.27424487,0.9683132,-0.3371808,-0.0015138471,-0.8639946,-0.05730458,-0.24262302
663.06067,0.9983941,0.28018254,0.9697534,-0.3372961,-0.0015220726,-0.86492693,-0.057821114,-0.24322596
678.8114,0.9977166,0.28622144,0.9712001,-0.33743802,-0.001540401,-0.8658948,-0.05834778,-0.24384896
694.74945,0.9971357,0.29239613,0.97264504,-0.33764037,-0.0015847767,-0.86699295,-0.058928985,-0.24448363
710.8815,0.9966443,0.2986328,0.9740829,-0.3378479,-0.0016365135,-0.86810493,-0.059511084,-0.2450913
727.2157,0.99617964,0.30494884,0.97554237,-0.3380866,-0.0016732598,-0.86925364,-0.060063798,-0.24573623
743.7586,0.9957121,0.31144142,0.9771169,-0.3384699,-0.001637795,-0.8705971,-0.060515303,-0.24659349
760.5173,0.9952648,0.3179965,0.9786874,-0.33885399,-0.0016064728,-0.87193084,-0.06095924,-0.24743755
777.4977,0.9948313,0.3246149,0.98025286,-0.33923867,-0.0015772963,-0.8732579,-0.061398167,-0.24826792
794.70483,0.9944081,0.33129644,0.98181385,-0.33962554,-0.0015522921,-0.8745785,-0.061829347,-0.24908541
812.1446,0.9939903,0.33804217,0.9833689,-0.3400137,-0.0015308941,-0.87588954,-0.062254388,-0.24989022
829.8211,0.9935758,0.34485182,0.98491925,-0.34040457,-0.0015119994,-0.877195,-0.06267227,-0.25068218
847.7394,0.99316204,0.3517244,0.98646486,-0.34079745,-0.001495936,-0.8784925,-0.0630839,-0.25146207
865.90326,0.99274707,0.35865936,0.98800385,-0.3411932,-0.0014825845,-0.87978345,-0.06348856,-0.25222936
884.3171,0.9923282,0.36565682,0.9895379,-0.34159026,-0.0014718557,-0.8810681,-0.06388737,-0.2529851
902.9846,0.99190444,0.37271467,0.991065,-0.34199068,-0.0014636004,-0.88234437,-0.064280406,-0.2537272
921.9091,0.9914737,0.37983146,0.9925859,-0.34239465,-0.0014582062,-0.8836143,-0.064666286,-0.25445846
941.0413,0.991047,0.3870885,0.9939874,-0.34272268,-0.0014397884,-0.8847694,-0.065002754,-0.2551027
960.40393,0.99070185,0.39443383,0.99536574,-0.34307125,-0.0014365697,-0.88593954,-0.06535764,-0.2557227
980.0332,0.9904314,0.40187883,0.99673635,-0.34346083,-0.001454928,-0.88715243,-0.06574203,-0.25633213
999.93176,0.9901489,0.40938035,0.99810034,-0.3438541,-0.0014749849,-0.88835794,-0.06612082,-0.25692892
