,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.838e-04,1.461e-03,7.607e-04,4.605e-04,5.081e-04,1.492e-04,2.933e-05,2.009e-04,1.106e-04
std,1.736e-04,1.762e-04,8.254e-04,2.065e-04,2.496e-04,1.030e-04,2.550e-05,1.563e-04,8.572e-05
min,1.788e-06,7.880e-04,0.000e+00,2.883e-06,7.200e-05,1.520e-06,5.302e-07,0.000e+00,1.490e-07
0.1%,1.788e-06,7.880e-04,0.000e+00,2.883e-06,7.200e-05,1.520e-06,5.302e-07,0.000e+00,1.490e-07
25%,1.378e-04,1.382e-03,0.000e+00,3.140e-04,2.891e-04,6.704e-05,1.291e-05,6.521e-05,4.055e-05
50%,2.719e-04,1.451e-03,5.188e-04,5.035e-04,4.888e-04,1.296e-04,2.365e-05,1.740e-04,8.234e-05
75%,4.247e-04,1.573e-03,1.240e-03,6.271e-04,7.313e-04,2.319e-04,3.824e-05,2.850e-04,1.740e-04
99.9%,7.136e-04,1.937e-03,3.108e-03,8.047e-04,1.593e-03,4.283e-04,1.272e-04,5.846e-04,3.513e-04
max,7.136e-04,1.937e-03,3.108e-03,8.047e-04,1.593e-03,4.283e-04,1.272e-04,5.846e-04,3.513e-04
