kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
223.00183,850.0,1236.0,37236.0,371.0,258.0,1.1,0.27,0.0
228.33682,855.68243,1239.2394,37236.395,371.18558,257.29077,1.1494261,0.27571872,0.014888048
234.13087,861.2248,1242.5519,37236.793,371.55032,256.5977,1.1923972,0.28173855,0.029554427
240.35558,866.66394,1245.934,37237.203,372.06277,255.92035,1.230404,0.28801298,0.044002473
246.98611,872.0285,1249.3822,37237.62,372.698,255.2584,1.2645941,0.29450604,0.058235407
254.00642,877.34143,1252.8943,37238.047,373.4361,254.61153,1.2958508,0.30118996,0.072256446
261.39685,882.6214,1256.4681,37238.484,374.26126,253.97935,1.3248545,0.30804318,0.08606875
269.13406,887.8808,1260.1024,37238.926,375.16095,253.36156,1.3521307,0.31504902,0.09967542
277.19647,893.129,1263.7958,37239.38,376.12512,252.75778,1.3780823,0.32219452,0.11307949
285.5657,898.3728,1267.547,37239.84,377.14557,252.16776,1.4030188,0.3294696,0.126284
294.226,903.61694,1271.3553,37240.316,378.21564,251.59114,1.4271772,0.33686635,0.13929194
303.16312,908.8645,1275.2202,37240.797,379.32986,251.02765,1.4507384,0.3443786,0.15210623
312.36404,914.11743,1279.1404,37241.29,380.48364,250.47696,1.4738404,0.3520014,0.16472971
321.8159,919.37665,1283.1155,37241.785,381.6732,249.93878,1.4965878,0.35973087,0.17716527
331.51004,924.6424,1287.1451,37242.297,382.89517,249.41286,1.5190592,0.3675638,0.1894157
341.44067,929.9142,1291.2283,37242.82,384.14682,248.8989,1.5413136,0.3754976,0.20148373
351.60248,935.19104,1295.3645,37243.35,385.42554,248.3966,1.5633949,0.38353008,0.21337211
361.99106,940.4716,1299.5531,37243.895,386.72922,247.90575,1.5853347,0.39165935,0.22508347
372.6036,945.7542,1303.7937,37244.445,388.05576,247.42604,1.6071553,0.39988378,0.23662049
383.4379,951.0371,1308.0853,37245.008,389.40335,246.95726,1.6288728,0.40820187,0.24798572
394.4953,956.3181,1312.4274,37245.58,390.77032,246.49911,1.6504972,0.4166123,0.25918174
405.7976,961.59503,1316.8192,37246.164,392.15497,246.0514,1.672034,0.42511377,0.2702111
417.34286,966.8654,1321.2599,37246.758,393.55573,245.61386,1.6934863,0.43370506,0.28107625
429.12555,972.12665,1325.7488,37247.363,394.97113,245.18626,1.7148541,0.44238496,0.29177964
441.1427,977.3762,1330.2848,37247.98,396.39972,244.7684,1.7361357,0.45115227,0.3023237
453.3943,982.6115,1334.8672,37248.613,397.8401,244.36003,1.7573278,0.4600058,0.31271076
465.85803,987.8299,1339.4951,37249.254,399.29086,243.96095,1.7784263,0.46894434,0.32294315
478.53387,993.0288,1344.1674,37249.906,400.75064,243.57094,1.7994258,0.47796667,0.33302325
491.4244,998.20575,1348.8829,37250.57,402.2181,243.1898,1.820321,0.4870715,0.34295326
504.5327,1003.35815,1353.6409,37251.242,403.69193,242.81732,1.8411059,0.4962576,0.35273546
517.8616,1008.4834,1358.4401,37251.93,405.17087,242.45332,1.8617746,0.5055236,0.36237198
531.4054,1013.5791,1363.2793,37252.63,406.6536,242.0976,1.8823204,0.5148682,0.37186503
