con,Omega,Theta,ygross,ynet,inv,Eind,scc,carbontax,Abatement,Dam,Emissions
77.05861,0.0028556,0.00062890205,105.17594,104.8756,27.751045,30.960346,20.846039,29.223627,0.06614537,0.3003404,33.56035
79.68436,0.0031179856,0.0006167251,108.7736,108.43444,28.683216,31.53459,21.48742,29.089619,0.06708341,0.33915448,34.075474
82.40664,0.0033536088,0.0006088297,112.4722,112.09501,29.62013,32.096985,22.17954,29.075539,0.068476416,0.37718776,34.580097
85.19994,0.0035677939,0.00060323684,116.265396,115.850586,30.580757,32.651226,22.902403,29.12721,0.07013557,0.414811,35.077873
88.06351,0.003765164,0.0006000388,120.153694,119.7013,31.56596,33.195667,23.656433,29.249584,0.072096884,0.45239836,35.567146
90.99668,0.003949595,0.0005992582,124.13735,123.64706,32.57628,33.728794,24.442087,29.445414,0.074390315,0.49029228,36.046345
93.9988,0.0041242647,0.0006008571,128.21635,127.68753,33.61202,34.249428,25.25959,29.715256,0.0770397,0.52879816,36.514282
97.06937,0.00429173,0.00060476095,132.39072,131.82253,34.673454,34.756622,26.109066,30.058264,0.08006474,0.5681852,36.96998
100.20788,0.004454032,0.0006108744,136.6602,136.05151,35.76052,35.249477,26.990507,30.472628,0.08348221,0.6086889,37.41251
103.4139,0.0046127797,0.00061909854,141.02455,140.37404,36.873226,35.727314,27.903929,30.956104,0.087308094,0.6505152,37.841167
106.68755,0.004769233,0.0006294149,145.48363,144.78978,38.011097,36.189358,28.849697,31.50858,0.09156957,0.6938454,38.255146
110.02923,0.004924372,0.00064183056,150.0372,149.29837,39.173306,36.634434,29.828566,32.130676,0.09629846,0.738839,38.65325
113.43806,0.005078951,0.0006561694,154.6855,153.89987,40.360813,37.062847,30.83968,32.81699,0.101499885,0.78564006,39.035767
116.9138,0.005233546,0.00067236,159.42828,158.59392,41.573483,37.473972,31.882956,33.565407,0.1071932,0.8343752,39.40203
120.45628,0.0053885905,0.00069035724,164.26537,163.3802,42.811115,37.86758,32.958385,34.3743,0.113401785,0.8851588,39.751797
124.06567,0.0055444124,0.0007101156,169.19678,168.25868,44.07354,38.243126,34.06602,35.24216,0.12014927,0.93809676,40.084496
127.74186,0.005701243,0.0007316054,174.2225,173.22923,45.360634,38.60047,35.205902,36.167694,0.12746212,0.99328476,40.39998
131.48495,0.005859249,0.0007547965,179.34259,178.2918,46.672256,38.939102,36.378094,37.14979,0.13536716,1.0508128,40.69769
135.2951,0.0060185404,0.0007796843,184.55719,183.44644,48.0083,39.258915,37.582756,38.187843,0.14389634,1.1107649,40.977516
139.1725,0.006179184,0.0008062482,189.86647,188.69324,49.368587,39.559456,38.81999,39.28099,0.15307951,1.1732199,41.238987
143.11736,0.006341211,0.00083448814,195.27075,194.03252,50.75325,39.840626,40.090046,40.428783,0.16295113,1.2382532,41.481964
147.12988,0.006504623,0.0008644099,200.7702,199.46428,52.16198,40.102142,41.39308,41.63102,0.17354776,1.3059345,41.70616
151.21051,0.006669401,0.0008960126,206.36537,204.98904,53.594864,40.343784,42.729374,42.88734,0.18490596,1.3763334,41.91133
155.35939,0.0068355114,0.00092931226,212.05647,210.60695,55.05186,40.565353,44.099236,44.197834,0.19706668,1.4495144,42.097256
159.57692,0.0070028994,0.0009643129,217.84395,216.3184,56.53288,40.766563,45.502842,45.562355,0.21006972,1.5255393,42.263634
163.86356,0.007171502,0.0010010471,223.72842,222.12396,58.03803,40.94742,46.940617,46.981358,0.22396268,1.6044688,42.410454
168.21965,0.007341245,0.0010395162,229.71028,228.02393,59.567226,41.107574,48.412846,48.454723,0.23878756,1.6863595,42.537342
172.64572,0.007512045,0.0010797605,235.79025,234.01898,61.120564,41.247063,49.92004,49.983143,0.25459698,1.7712669,42.64432
177.1422,0.0076838164,0.001121786,241.96889,240.10963,62.698074,41.365566,51.462498,51.566658,0.2714373,1.8592445,42.731052
181.70949,0.007856463,0.0011656266,248.24667,246.29634,64.299736,41.463078,53.04057,53.20586,0.28936294,1.9503409,42.797523
186.34805,0.008029888,0.0012112998,254.62428,252.5797,65.9257,41.539425,54.65473,54.901047,0.30842635,2.0446045,42.843525
191.05849,0.008203985,0.0012588429,261.10248,258.9604,67.57588,41.594563,56.305504,56.652977,0.32868695,2.1420808,42.869007
195.84128,0.00837865,0.001308269,267.68185,265.43903,69.25049,41.628357,57.993286,58.461864,0.35019985,2.2428124,42.87382
200.6936,0.008553777,0.0013612868,274.36313,272.01627,70.95237,41.6331,59.721325,60.37418,0.37348688,2.3468409,42.850246
205.61711,0.008729254,0.0014170412,281.14487,278.6907,72.678665,41.612637,61.488625,62.365536,0.39839387,2.4541852,42.802105
210.61212,0.008904948,0.0014746005,288.02676,285.46188,74.42884,41.571056,63.292213,64.410355,0.42472443,2.5648632,42.733482
215.67937,0.0090807285,0.0015339917,295.00955,292.33066,76.20285,41.50835,65.13288,66.509384,0.4525422,2.678902,42.64435
220.8168,0.009256466,0.0015959264,302.09424,299.2979,78.00345,41.421623,67.012505,68.681435,0.48212016,2.7963252,42.531788
226.02335,0.009432036,0.0016603373,309.2791,306.362,79.82996,41.310898,68.93172,70.92451,0.51350766,2.9171317,42.39582
231.30307,0.009607311,0.0017261084,316.56223,313.52094,81.67667,41.180874,70.89545,73.20921,0.54642075,3.0413122,42.24113
236.65456,0.009782156,0.001793367,323.94534,320.77646,83.54661,41.031208,72.89579,75.53931,0.5809529,3.1688838,42.067356
242.07883,0.009956449,0.0018621598,331.42966,328.12976,85.439926,40.86197,74.93367,77.91628,0.617175,3.2998624,41.874557
247.57625,0.010130075,0.0019324747,339.0162,335.58197,87.3572,40.673275,77.00947,80.3403,0.6551402,3.4342594,41.662838
253.14784,0.010302912,0.0020043578,346.70618,343.1341,89.298454,40.465157,79.12407,82.81283,0.69492316,3.5720835,41.43222
258.79428,0.010474849,0.0020778154,354.50067,350.78732,91.264175,40.23759,81.27812,85.33462,0.7365869,3.713341,41.182667
264.51642,0.010645775,0.0021528527,362.40076,358.5427,93.2544,39.990852,83.47232,87.906044,0.7801954,3.8580368,40.91444
270.3146,0.010815577,0.0022294768,370.4073,366.4011,95.269615,39.724957,85.7072,90.52781,0.8258144,4.006168,40.627544
276.16672,0.010984149,0.002308887,378.5215,374.3638,97.332726,39.435215,87.9635,93.230156,0.8739634,4.157737,40.31728
282.0767,0.011151377,0.002389788,386.73666,382.42407,99.43342,39.126377,90.2432,95.98097,0.92421865,4.3126464,39.988388
288.05667,0.011317146,0.0024708358,395.04913,390.57828,101.55654,38.80339,92.555786,98.74797,0.97610146,4.4708285,39.6458
294.10797,0.01148134,0.0025521098,403.46106,398.8288,103.70295,38.46635,94.90258,101.53389,1.0296769,4.6322737,39.289604
300.23126,0.011643854,0.0026336317,411.97382,407.17688,105.8733,38.11524,97.284225,104.34032,1.0849873,4.7969627,38.919773
306.42773,0.0118045965,0.0027154365,420.5891,415.6242,108.067894,37.7502,99.70181,107.16894,1.1420829,4.9648848,38.53644
312.69818,0.011963482,0.0027975286,429.30835,424.1723,110.28751,37.371197,102.15611,110.020935,1.2010024,5.136022,38.13956
319.0436,0.012120428,0.00287993,438.13297,432.82263,112.53256,36.978508,104.64789,112.89741,1.2617923,5.310359,37.729404
325.46487,0.01227535,0.002962626,447.06442,441.57657,114.80344,36.572155,107.17808,115.7991,1.3244848,5.4878726,37.305973
331.9624,0.012428178,0.0030456455,456.1037,450.43515,117.10092,36.15235,109.74703,118.72724,1.3891301,5.668538,36.869488
338.5372,0.012578835,0.0031289342,465.252,459.39966,119.425026,35.719357,112.35576,121.68143,1.4557428,5.8523283,36.420185
345.19006,0.012727242,0.003212521,474.51077,468.47153,121.77651,35.273228,115.00487,124.6631,1.5243759,6.039213,35.958126
351.92175,0.012873327,0.0032963583,483.88098,477.65182,124.15554,34.81437,117.69497,127.67172,1.5950451,6.2291584,35.483696
358.73273,0.013017017,0.0033804136,493.36365,486.9415,126.56271,34.342865,120.426735,130.70755,1.667773,6.422123,34.99697
365.62402,0.013158244,0.0034646504,502.9598,496.34174,128.9981,33.859077,123.20069,133.77031,1.7425799,6.618068,34.498306
372.5959,0.0132969385,0.0035490273,512.6704,505.85345,131.46228,33.363373,126.01733,136.85956,1.8194813,6.816947,33.988068
379.64886,0.013433029,0.0036335108,522.49634,515.4776,133.95575,32.855907,128.87735,139.97536,1.898496,7.018708,33.466396
386.77576,0.013566453,0.00372039,532.43854,525.2153,136.48549,32.328243,131.78526,143.17284,1.980879,7.2233024,32.92485
393.9868,0.013697144,0.0038078225,542.50165,535.0709,139.04665,31.7878,134.7402,146.40857,2.0657501,7.4307227,32.370842
401.28247,0.013825016,0.0038957042,552.68604,545.04517,141.63931,31.234985,137.74255,149.681,2.1531012,7.6408935,31.80477
408.66333,0.013949997,0.003983965,562.9925,555.13873,144.26375,30.670162,140.79279,152.98914,2.2429423,7.853743,31.226994
416.12967,0.01407201,0.0040724785,573.42145,565.3523,146.92018,30.09392,143.89105,156.33069,2.3352463,8.069192,30.63809
423.6824,0.014190982,0.0041611763,583.974,575.6869,149.60898,29.506626,147.03802,159.70476,2.430019,8.287166,30.038427
431.3162,0.014306846,0.0042577926,594.65063,586.14307,152.33116,28.880224,150.24748,163.2946,2.531899,8.507574,29.399933
439.03424,0.014419544,0.0043543824,605.44745,596.71716,155.0846,28.243748,153.50392,166.91324,2.6363494,8.730275,28.751638
446.835,0.014528944,0.0044520427,616.36426,607.4091,157.86992,27.593344,156.80818,170.58743,2.74408,8.955122,28.089685
454.7178,0.014634946,0.0045525837,627.40247,618.22046,160.68816,26.922625,160.16234,174.36063,2.8563023,9.182002,27.407679
462.68546,0.014737458,0.0046521486,638.56116,629.1504,163.53804,26.24584,163.5627,178.14227,2.9706814,9.4107685,26.719868
470.73886,0.014836383,0.0047506187,649.84216,640.2009,166.4207,25.563274,167.00987,181.931,3.0871525,9.641308,26.026524
478.8789,0.01493164,0.0048479075,661.2463,651.3728,169.33615,24.875565,170.5049,185.72504,3.2056606,9.873491,25.32828
487.1063,0.015023175,0.0049439548,672.7745,662.6673,172.28477,24.182974,174.0481,189.52379,3.3261666,10.107207,24.625397
495.42157,0.015110947,0.005038628,684.4278,674.08545,175.26736,23.4861,177.63998,193.32483,3.4485772,10.342352,23.918463
503.8185,0.015194925,0.005136034,696.207,685.6282,178.28825,22.770567,181.28145,197.2258,3.575743,10.578813,23.193098
512.30084,0.01527508,0.0052333,708.11145,697.29504,181.34502,22.046621,184.97153,201.15987,3.7057595,10.816459,22.459545
520.8714,0.015351363,0.0053286147,720.1409,709.0858,184.43602,21.320889,188.71004,205.08447,3.8373537,11.055146,21.724424
529.5309,0.015423738,0.005421825,732.2968,721.00195,187.56195,20.593916,192.49698,208.99681,3.970385,11.294754,20.988276
538.2802,0.015492165,0.005512872,744.57996,733.04486,190.72348,19.866179,196.33339,212.89561,4.104774,11.535156,20.251572
547.1353,0.015556631,0.005610207,756.9916,745.2154,193.89923,19.108192,200.26065,216.98279,4.2468796,11.776239,19.484823
556.07904,0.015617132,0.0057054427,769.5219,757.5042,197.10324,18.349285,204.23914,221.05968,4.3904634,12.017725,18.717352
565.10803,0.0156736,0.005796796,782.1707,769.9113,200.34024,17.59581,208.26065,225.08406,4.534084,12.25943,17.955507
574.22345,0.015725994,0.0058842353,794.93933,782.4381,203.6106,16.848045,212.32637,229.05518,4.67761,12.501211,17.199564
583.4268,0.015774298,0.0059678187,807.8299,795.0869,206.91519,16.10596,216.43697,232.97443,4.8209825,12.7429495,16.449488
592.7089,0.015818536,0.006048919,820.8435,807.8589,210.2633,15.36495,220.58414,236.87497,4.9652157,12.984543,15.7006645
602.06836,0.015858728,0.006126965,833.981,820.7551,213.65808,14.627299,224.77866,240.74245,5.1097727,13.225879,14.95538
611.51105,0.015894914,0.0061998316,847.24146,833.77466,217.09433,13.900423,229.03543,244.52565,5.252754,13.46683,14.221045
621.0412,0.01592712,0.0062679565,860.62256,846.91534,220.56561,13.183024,233.33566,248.23418,5.394345,13.707238,13.496357
630.65985,0.015955402,0.0063314387,874.12555,860.17847,224.07243,12.475041,237.68056,251.86952,5.534472,13.947023,12.781248
640.3672,0.01597982,0.0063903313,887.7511,873.56506,227.61551,11.77654,242.07007,255.43198,5.673024,14.186104,12.075785
650.16504,0.016000442,0.0064447676,901.5013,887.0769,231.1948,11.087279,246.50664,258.92404,5.809966,14.42442,11.379721
660.0538,0.01601734,0.006494835,915.37756,900.7157,234.81194,10.407388,250.99054,262.346,5.945226,14.661913,10.693179
670.0349,0.016030593,0.0065406314,929.3812,914.4827,238.4665,9.736686,255.52298,265.69974,6.07874,14.898533,10.015978
680.10876,0.01604027,0.006582225,943.51355,928.37933,242.15987,9.075235,260.10422,268.98553,6.2104187,15.134212,9.348177
690.2756,0.016046444,0.0066196937,957.7742,942.40533,245.89125,8.42319,264.73526,272.20334,6.340172,15.36887,8.689926
700.5525,0.01604919,0.0066515193,972.1659,956.5635,249.64833,7.78612,269.42618,275.3135,6.4663806,15.602475,8.046791
710.9302,0.016048582,0.0066790227,986.68933,970.85425,253.43983,7.1597795,274.17346,278.34735,6.5901203,15.834965,7.4145226
721.4051,0.016044706,0.00670278,1001.3469,985.2807,257.27142,6.5424733,278.97394,281.3177,6.711808,16.066317,6.7914257
731.95715,0.016037647,0.0067182966,1016.13855,999.8421,261.16763,5.950593,283.82388,284.10605,6.8267198,16.296473,6.1938844
742.5919,0.016027475,0.0067266994,1031.0712,1014.5457,265.1292,5.3806357,288.72894,286.73767,6.935705,16.525467,5.618395
753.3245,0.016014313,0.006728061,1046.1504,1029.397,269.14664,4.8329635,293.71124,289.21014,7.038564,16.75338,5.0653167
764.1522,0.015998285,0.0067218486,1061.3726,1044.3925,273.21985,4.3100724,298.76846,291.50476,7.1343856,16.98014,4.5371428
775.0778,0.015979527,0.006712353,1076.7319,1059.5262,277.33646,3.7968223,303.8828,293.73227,7.2274046,17.205667,4.0187287
786.10095,0.015958194,0.006691668,1092.2299,1074.7999,281.50665,3.3228374,309.07913,295.67526,7.3088403,17.430017,3.5396986
797.20496,0.015934404,0.0066541517,1107.865,1090.2118,285.7524,2.9101696,314.29138,297.17026,7.371902,17.653168,3.1221
808.40295,0.015908334,0.00661347,1123.6326,1105.7574,290.0417,2.5092916,319.55377,298.5818,7.4311113,17.875124,2.7164032
819.6994,0.01588025,0.0065686977,1139.5339,1121.4379,294.37204,2.124041,324.8654,299.88177,7.485254,18.096083,2.3264432
831.1691,0.015850343,0.006499421,1155.5709,1137.2546,298.69403,1.8335868,330.2213,300.48486,7.510541,18.316193,2.031387
842.79114,0.015818784,0.0064150845,1171.7509,1153.2152,303.02612,1.604517,335.6411,300.6373,7.51688,18.535675,1.7978196
854.539,0.015785903,0.006325403,1188.0675,1169.3127,307.37735,1.4009922,341.10736,300.60464,7.515006,18.754719,1.5898995
866.41486,0.01575207,0.0062296977,1204.5209,1185.5472,311.7467,1.2268109,346.6186,300.35907,7.503801,18.973698,1.411423
878.39374,0.015717579,0.00612826,1221.1091,1201.9161,316.15683,1.0819807,352.17084,299.90085,7.4832735,19.192879,1.2623951
890.3867,0.015682688,0.006007181,1237.8267,1218.4142,320.70825,1.0253854,357.6806,298.7954,7.435849,19.412449,1.2016975
902.48444,0.01564763,0.005888097,1254.6906,1235.0576,325.30106,0.9703165,363.25403,297.68457,7.3877397,19.632933,1.1426197
