kplusy,lambd_haty,muy,nuAT_haty,nuUO_haty,nuLO_haty,nuLF_haty,etaAT_haty,etaOC_haty
228.8286,0.978196,0.15971921,1.0069184,-0.41761816,0.0007241606,-0.93027323,-0.03769308,-0.22381444
234.94717,0.98534644,0.15975954,1.0081267,-0.41714144,0.0011421083,-0.9309289,-0.03841996,-0.22498824
241.38881,0.99099624,0.16021106,1.0098495,-0.4169476,0.0012063025,-0.93172014,-0.03902882,-0.22613098
248.14923,0.99586755,0.16089095,1.0117015,-0.41694352,0.0012119948,-0.9327247,-0.03960293,-0.2272621
255.22404,1.000045,0.161818,1.0136977,-0.41709882,0.0011869012,-0.9339418,-0.04016381,-0.22839339
262.6074,1.0036063,0.16300285,1.015857,-0.4173968,0.0011442541,-0.9353735,-0.04072314,-0.22953625
270.29367,1.0066215,0.16444796,1.0181838,-0.4178218,0.0010947525,-0.9370116,-0.04129153,-0.23069991
278.27716,1.0091538,0.16615021,1.02068,-0.41835988,0.0010448038,-0.9388469,-0.04187196,-0.23188664
286.5518,1.0112597,0.16810258,1.0233396,-0.41899943,0.0009975373,-0.9408683,-0.042466458,-0.23310168
295.11176,1.0129898,0.17029594,1.026156,-0.41972774,0.00095739355,-0.9430605,-0.04307848,-0.23434307
303.95337,1.0143809,0.1727281,1.0291519,-0.42056054,0.0009158193,-0.9454435,-0.043674406,-0.23561807
313.07297,1.0154603,0.17539899,1.0323586,-0.42152175,0.0008632182,-0.94804543,-0.04421657,-0.2369345
322.467,1.0162777,0.17828757,1.0356995,-0.42254955,0.00081884256,-0.9507848,-0.044769403,-0.23827429
332.1311,1.0168662,0.18138401,1.0391625,-0.42363802,0.00078281155,-0.9536488,-0.045331534,-0.23963995
342.06174,1.0172529,0.18467999,1.0427381,-0.42478138,0.0007554828,-0.9566228,-0.045902546,-0.24102671
352.2567,1.0174611,0.18816763,1.0464156,-0.42597276,0.0007346212,-0.95969844,-0.046480592,-0.24243201
362.71332,1.0175129,0.19183972,1.0501866,-0.42720807,0.0007216572,-0.96286607,-0.04706448,-0.24385585
373.42957,1.017427,0.1956897,1.0540427,-0.4284812,0.00071474304,-0.96611357,-0.04765254,-0.24529512
384.40445,1.0172188,0.19971265,1.0579756,-0.42979175,0.00071250787,-0.96943235,-0.04824465,-0.24674799
395.63675,1.0169026,0.20390297,1.0619782,-0.43113363,0.00071751466,-0.972819,-0.048838075,-0.24821247
407.12592,1.0164917,0.20825642,1.0660447,-0.4325055,0.0007267236,-0.9762634,-0.0494346,-0.24968804
418.87183,1.0159949,0.21276958,1.0701687,-0.4339034,0.00073944917,-0.9797593,-0.050030347,-0.25117213
430.8746,1.0154229,0.21743868,1.0743446,-0.43532613,0.0007565557,-0.9833034,-0.050626036,-0.25266248
443.13492,1.0147837,0.22226131,1.0785694,-0.43677205,0.0007771789,-0.9868887,-0.05122107,-0.25416082
455.65268,1.014084,0.22723448,1.0828362,-0.4382377,0.0008004843,-0.9905118,-0.051813897,-0.25566375
468.43036,1.0133303,0.23235716,1.0871431,-0.43972242,0.0008260845,-0.9941689,-0.05240458,-0.25717002
481.46805,1.0125272,0.23762648,1.0914845,-0.44122627,0.0008554994,-0.9978567,-0.052991863,-0.25868
494.76797,1.0116796,0.24304217,1.0958595,-0.44274557,0.00088548055,-1.0015705,-0.053576943,-0.26019132
508.33182,1.0107919,0.24860208,1.1002649,-0.44428116,0.0009185015,-1.0053093,-0.054157313,-0.2617044
522.1616,1.0098674,0.25430563,1.104696,-0.44583085,0.00095226755,-1.0090702,-0.05473369,-0.26321846
536.2587,1.0089091,0.2601515,1.1091515,-0.4473942,0.000988388,-1.0128497,-0.05530673,-0.26473093
550.6264,1.0079187,0.2661398,1.11363,-0.44897076,0.0010255813,-1.0166472,-0.055873748,-0.26624352
565.2665,1.0069,0.272269,1.1181285,-0.4505587,0.0010645627,-1.0204587,-0.05643749,-0.26775408
580.1666,1.0058873,0.27867115,1.1228004,-0.45226038,0.001116389,-1.0245962,-0.05688679,-0.26908892
595.3215,1.0048703,0.28527093,1.127561,-0.45402128,0.0011770665,-1.0288969,-0.057286855,-0.27033883
610.735,1.0038509,0.29199246,1.1323229,-0.45578814,0.0012366115,-1.0331931,-0.057679113,-0.2715826
626.4112,1.0028268,0.2988363,1.1370878,-0.45755824,0.0012959479,-1.037488,-0.058062967,-0.27281922
642.33594,1.0018215,0.30585337,1.1418746,-0.45933598,0.0013354956,-1.0418241,-0.05848628,-0.2740649
658.4935,1.0008476,0.31303546,1.1466908,-0.46113056,0.0013458668,-1.0462132,-0.058963474,-0.2753185
