,foc_kplus,foc_lambd,kkt_mu_fb,foc_TATplus,foc_MATplus,foc_MUOplus,foc_MLOplus,foc_MLFplus,foc_TOCplus
count,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03,5.120e+03
mean,2.406e-04,3.920e-03,4.468e-04,2.256e-04,2.668e-04,7.046e-05,1.231e-05,6.824e-05,1.015e-04
std,1.396e-04,2.700e-04,4.780e-04,1.646e-04,1.121e-04,5.258e-05,1.091e-05,9.028e-05,5.179e-05
min,2.265e-06,2.554e-03,0.000e+00,1.781e-06,4.053e-06,4.172e-07,2.937e-07,5.364e-07,8.374e-06
0.1%,2.265e-06,2.554e-03,0.000e+00,1.781e-06,4.053e-06,4.172e-07,2.937e-07,5.364e-07,8.374e-06
25%,1.470e-04,3.779e-03,0.000e+00,1.244e-04,1.868e-04,2.974e-05,5.598e-06,2.211e-05,5.856e-05
50%,2.179e-04,3.974e-03,3.359e-04,1.914e-04,2.693e-04,6.962e-05,1.026e-05,4.655e-05,1.049e-04
75%,3.290e-04,4.109e-03,7.419e-04,2.814e-04,3.377e-04,1.009e-04,1.453e-05,7.471e-05,1.304e-04
99.9%,7.199e-04,4.466e-03,1.833e-03,1.040e-03,9.154e-04,3.806e-04,8.314e-05,7.305e-04,2.535e-04
max,7.199e-04,4.466e-03,1.833e-03,1.040e-03,9.154e-04,3.806e-04,8.314e-05,7.305e-04,2.535e-04
