kx,MATx,MUOx,MLOx,MLFx,MLFeqx,TATx,TOCx,taux
223.00183,850.0,1236.0,37236.0,371.0,258.0,1.1,0.27,0.0
228.06834,855.69714,1239.2394,37236.395,371.18558,257.29077,1.1494261,0.27571872,0.014888048
233.9767,861.2492,1242.5522,37236.793,371.5512,256.5977,1.1924113,0.28173855,0.029554427
240.4133,866.6982,1245.9347,37237.203,372.06503,255.92035,1.2304378,0.28801307,0.044002473
247.28195,872.07404,1249.3837,37237.62,372.70203,255.2584,1.2646518,0.29450637,0.058235407
254.77078,877.39874,1252.8966,37238.047,373.44232,254.61153,1.2959366,0.30119067,0.072256446
262.60333,882.6926,1256.4718,37238.484,374.27014,253.97935,1.3249722,0.30804446,0.08606875
270.77295,887.9688,1260.1075,37238.926,375.17297,253.36156,1.3522847,0.3150511,0.09967542
279.36908,893.23706,1263.8026,37239.38,376.14084,252.75778,1.3782785,0.32219765,0.11307949
288.21408,898.506,1267.556,37239.84,377.16565,252.16776,1.4032648,0.32947403,0.126284
297.34293,903.78064,1271.3671,37240.316,378.241,251.59114,1.4274826,0.33687246,0.13929194
306.74817,909.06476,1275.235,37240.797,379.3616,251.02765,1.4511155,0.34438676,0.15210623
316.34998,914.36115,1279.1592,37241.29,380.52307,250.47696,1.4743035,0.35201213,0.16472971
326.12363,919.67053,1283.1393,37241.785,381.72186,249.93878,1.497153,0.35974473,0.17716527
336.06186,924.9932,1287.1746,37242.297,382.9548,249.41286,1.5197446,0.36758146,0.1894157
346.16394,930.3287,1291.2648,37242.82,384.2193,248.8989,1.5421383,0.37551987,0.20148373
356.43045,935.676,1295.4092,37243.35,385.5129,248.3966,1.5643783,0.3835579,0.21337211
366.86148,941.03406,1299.6074,37243.895,386.83362,247.90575,1.5864967,0.39169374,0.22508347
377.45895,946.4015,1303.859,37244.445,388.1794,247.42604,1.6085167,0.39992595,0.23662049
388.22415,951.7766,1308.1632,37245.008,389.54865,246.95726,1.6304544,0.40825313,0.24798572
399.15796,957.1578,1312.5195,37245.58,390.9397,246.49911,1.6523205,0.4166741,0.25918174
410.2622,962.54315,1316.9276,37246.164,392.351,246.0514,1.6741214,0.4251877,0.2702111
421.53775,967.9308,1321.3864,37246.758,393.7811,245.61386,1.6958604,0.43379286,0.28107625
432.98636,973.3187,1325.8956,37247.363,395.2287,245.18626,1.7175387,0.4424885,0.29177964
444.61127,978.7047,1330.4545,37247.98,396.69244,244.7684,1.7391558,0.4512736,0.3023237
456.43317,984.0836,1335.062,37248.613,398.1711,244.36003,1.760709,0.4601471,0.31271076
468.43893,989.45374,1339.7178,37249.254,399.66318,243.96095,1.782193,0.469108,0.32294315
480.63287,994.8136,1344.4207,37249.906,401.1674,243.57094,1.8036016,0.47815514,0.33302325
493.018,1000.1612,1349.1698,37250.57,402.6825,243.1898,1.8249307,0.48728746,0.34295326
505.58984,1005.4944,1353.9645,37251.242,404.2072,242.81732,1.8461746,0.49650383,0.35273546
518.34796,1010.811,1358.8036,37251.93,405.7405,242.45332,1.8673285,0.50580305,0.36237198
531.29193,1016.109,1363.6863,37252.633,407.2811,242.0976,1.8883866,0.515184,0.37186503
544.42377,1021.3863,1368.6116,37253.344,408.8279,241.74995,1.9093438,0.5246453,0.38121676
557.745,1026.6407,1373.5784,37254.07,410.37985,241.41023,1.9301949,0.5341859,0.39042926
571.2577,1031.8704,1378.5857,37254.805,411.93588,241.07822,1.9509344,0.5438044,0.3995046
584.9624,1037.073,1383.6323,37255.555,413.49487,240.75375,1.9715574,0.5534995,0.40844482
598.86127,1042.2467,1388.7173,37256.316,415.05588,240.43668,1.9920583,0.5632699,0.41725194
612.9497,1047.3893,1393.8394,37257.09,416.61777,240.1268,2.0124323,0.5731143,0.42592794
627.1554,1052.4982,1398.9976,37257.88,418.1797,239.82397,2.0326743,0.5830312,0.43447477
641.55536,1057.57,1404.1904,37258.68,419.7405,239.52805,2.0527792,0.59301925,0.44289434
656.17413,1062.6016,1409.4169,37259.492,421.29922,239.23883,2.0727406,0.603077,0.45118856
670.9766,1067.5911,1414.6755,37260.32,422.8546,238.95619,2.092552,0.613203,0.4593593
685.9628,1072.5365,1419.9653,37261.156,424.40567,238.68,2.1122072,0.6233957,0.46740842
701.14355,1077.436,1425.2847,37262.01,425.95126,238.41005,2.131701,0.6336536,0.47533768
716.52356,1082.2881,1430.6321,37262.88,427.49048,238.14626,2.1510286,0.64397514,0.48314893
732.1056,1087.091,1436.0065,37263.758,429.02228,237.88847,2.1701853,0.65435874,0.49084383
747.8893,1091.8428,1441.4062,37264.652,430.5458,237.63654,2.189167,0.6648028,0.49842417
763.8775,1096.542,1446.8301,37265.56,432.0601,237.39032,2.2079694,0.67530566,0.5058917
780.0712,1101.1871,1452.2765,37266.48,433.56424,237.14972,2.2265892,0.6858657,0.513248
796.4724,1105.7764,1457.7441,37267.414,435.0575,236.91458,2.2450233,0.6964813,0.5204948
813.08105,1110.3083,1463.2314,37268.36,436.53894,236.68478,2.2632678,0.70715076,0.5276337
829.89667,1114.7812,1468.737,37269.316,438.00787,236.46022,2.2813199,0.7178724,0.53466636
846.8965,1119.1914,1474.2593,37270.29,439.46344,236.24075,2.2991762,0.72864455,0.54159427
864.099,1123.5377,1479.7969,37271.273,440.90475,236.02629,2.3168323,0.73946553,0.54841906
881.5059,1127.8182,1485.3481,37272.273,442.33102,235.81668,2.3342843,0.7503336,0.5551423
899.0939,1132.0309,1490.9115,37273.285,443.74133,235.61186,2.3515284,0.76124704,0.5617654
916.8854,1136.1743,1496.4855,37274.312,445.1349,235.41168,2.368561,0.7722041,0.5682899
934.88916,1140.2478,1502.0684,37275.35,446.5109,235.21606,2.3853784,0.783203,0.5747172
953.108,1144.25,1507.6587,37276.406,447.8686,235.0249,2.4019785,0.79424196,0.58104885
971.5438,1148.18,1513.2549,37277.473,449.2073,234.83807,2.4183586,0.80531925,0.58728623
990.1977,1152.0367,1518.8552,37278.56,450.52637,234.6555,2.4345164,0.8164331,0.59343076
1009.07117,1155.8195,1524.4583,37279.652,451.82513,234.47707,2.4504502,0.82758164,0.59948385
1028.1656,1159.5272,1530.0624,37280.76,453.10306,234.3027,2.4661584,0.83876324,0.60544676
1047.4811,1163.1593,1535.6661,37281.887,454.35956,234.1323,2.4816396,0.849976,0.6113209
1067.0194,1166.7148,1541.2677,37283.023,455.59412,233.96576,2.4968925,0.86121815,0.6171076
1086.7828,1170.1932,1546.8657,37284.176,456.80624,233.80302,2.5119164,0.87248796,0.62280816
1106.771,1173.5939,1552.4584,37285.344,457.99548,233.64398,2.52671,0.88378364,0.6284238
1126.9863,1176.9161,1558.0444,37286.523,459.1614,233.48856,2.5412729,0.8951034,0.63395584
1147.427,1180.1593,1563.6222,37287.715,460.30356,233.33667,2.555604,0.9064455,0.6394055
1168.0979,1183.323,1569.1902,37288.926,461.42154,233.18825,2.569703,0.9178082,0.6447741
1188.9989,1186.4067,1574.7468,37290.145,462.515,233.04318,2.5835695,0.92918974,0.65006274
1210.1309,1189.4102,1580.2906,37291.383,463.58368,232.90141,2.5972025,0.9405884,0.65527266
1231.4688,1192.3293,1585.8203,37292.633,464.62714,232.76288,2.6106026,0.95200247,0.66040504
