Time	100GtC	200GtC	500GtC	-100GtC	-200GtC	-500GtC
0	0	0	0	0	0	0
1	0.02	0.04	0.09	-0.02	-0.04	-0.11
2	0.06	0.11	0.26	-0.06	-0.13	-0.37
3	0.08	0.15	0.35	-0.08	-0.17	-0.48
4	0.09	0.17	0.4	-0.1	-0.2	-0.55
5	0.1	0.19	0.45	-0.1	-0.21	-0.59
6	0.11	0.21	0.48	-0.11	-0.23	-0.63
7	0.11	0.22	0.51	-0.11	-0.24	-0.65
8	0.12	0.23	0.53	-0.12	-0.24	-0.66
9	0.12	0.23	0.55	-0.12	-0.25	-0.67
10	0.12	0.24	0.56	-0.13	-0.26	-0.68
11	0.13	0.24	0.58	-0.13	-0.26	-0.7
12	0.13	0.25	0.6	-0.13	-0.26	-0.7
13	0.13	0.25	0.61	-0.13	-0.27	-0.71
14	0.13	0.26	0.62	-0.13	-0.27	-0.71
15	0.13	0.26	0.63	-0.13	-0.27	-0.72
16	0.13	0.27	0.64	-0.13	-0.27	-0.72
17	0.13	0.27	0.65	-0.14	-0.28	-0.73
18	0.13	0.27	0.65	-0.14	-0.28	-0.73
19	0.14	0.27	0.66	-0.14	-0.28	-0.74
20	0.14	0.27	0.67	-0.14	-0.28	-0.74
21	0.14	0.27	0.67	-0.14	-0.28	-0.74
22	0.14	0.27	0.68	-0.14	-0.28	-0.74
23	0.14	0.28	0.68	-0.14	-0.28	-0.74
24	0.14	0.28	0.69	-0.14	-0.28	-0.74
25	0.14	0.28	0.69	-0.14	-0.28	-0.74
26	0.14	0.28	0.69	-0.14	-0.28	-0.75
27	0.14	0.28	0.69	-0.14	-0.28	-0.75
28	0.14	0.28	0.69	-0.14	-0.28	-0.75
29	0.14	0.28	0.69	-0.14	-0.28	-0.76
30	0.14	0.28	0.69	-0.14	-0.28	-0.76
31	0.14	0.28	0.69	-0.14	-0.28	-0.75
32	0.14	0.28	0.69	-0.14	-0.28	-0.76
33	0.14	0.28	0.69	-0.14	-0.28	-0.76
34	0.14	0.28	0.69	-0.14	-0.28	-0.76
35	0.14	0.28	0.68	-0.14	-0.28	-0.76
36	0.14	0.28	0.68	-0.14	-0.28	-0.76
37	0.14	0.28	0.68	-0.14	-0.28	-0.75
38	0.14	0.28	0.68	-0.14	-0.28	-0.75
39	0.14	0.28	0.68	-0.14	-0.28	-0.75
40	0.14	0.28	0.68	-0.14	-0.28	-0.75
41	0.14	0.28	0.67	-0.14	-0.28	-0.75
42	0.14	0.28	0.67	-0.14	-0.28	-0.74
43	0.14	0.28	0.68	-0.14	-0.28	-0.73
44	0.14	0.28	0.67	-0.14	-0.28	-0.72
45	0.14	0.28	0.67	-0.14	-0.28	-0.72
46	0.14	0.28	0.66	-0.14	-0.27	-0.72
47	0.14	0.28	0.66	-0.14	-0.27	-0.71
48	0.14	0.28	0.67	-0.13	-0.27	-0.71
49	0.14	0.28	0.66	-0.13	-0.27	-0.71
